word	len	pts	n	nCur	fieldRate	myRate	myRateCur	strongRate	topQRate	reachClass	share_freeCur	share_dropTerminalCur	share_cellmateCur	hookStem	cellmateOf	observedHost	family	qCur	gainPerGameCur	gainPerGameAll	dead	everAccepted
RATIO	5	800	420	140	0.097619	0.090476	0.13571	0.18966	0.16514	free	0.72143	0	0	RAT		RAT	RAT	0.53464	15.595	16.549	False	True
EDITOR	6	1400	121	55	0.016529	0	0	0.066667	0.078947	free	0.78182	0	0	TOR		DIT	TOR	0.58003	15.589	10.249	False	True
TARSEL	6	1400	239	54	0.0083682	0	0	0.020408	0.037736	free	0.7963	0	0.092593	TAR	LASTER,SALTER	TARS	TAR	0.5902	15.574	20.815	False	True
STENO	5	800	647	207	0.07187	0.097372	0.096618	0.032258	0.069182	free	0.48792	0	0.2029		TONES,STONE	STEN	STEN	0.36577	15.557	15.94	False	True
ENATES	6	1400	323	88	0.071207	0.074303	0.17045	0.050847	0.12698	free	0.71591	0	0.056818			NAT	NAT	0.53219	15.555	21.607	False	True
DITONE	6	1400	103	47	0.029126	0.0097087	0	0	0.032258	free	0.91489	0	0	TONE		TONE	TONE	0.67625	15.531	10.501	False	True
SEITAN	6	1400	342	94	0	0	0	0	0	free	0.44681	0	0	TAN		TAN	TAN	0.33779	15.516	22.182	False	False
RETEAR	6	1400	198	51	0.080808	0.090909	0.058824	0.068182	0.11364	free	0.92157	0	0	TEAR		RETE	TEAR	0.68108	15.508	18.28	False	True
LAREES	6	1400	153	43	0.058824	0.0065359	0	0.25806	0.20833	free	1	0	0	LARE	LEASER,LEARES	LARE	LARE	0.73779	15.503	15.767	False	True
IRONES	6	1400	228	78	0.070175	0.013158	0.025641	0.17778	0.22388	free	0.57692	0	0.012821			RONES	RONES	0.43183	15.482	14.285	False	True
SANTIR	6	1400	180	51	0.027778	0.016667	0.019608	0	0.13158	free	0.86275	0	0	SAN		SANT	SAN	0.63854	15.425	14.846	False	True
DRENT	5	800	359	113	0.012535	0.005571	0.017699	0	0.02	free	0.68142	0	0	REN		RENT	REN	0.50561	15.395	15.214	False	True
EARNT	5	800	427	117	0.017564	0	0	0.040816	0.05	free	0.63248	0	0.059829			EARN	EARN	0.47026	15.364	15.172	False	True
RESES	5	800	377	105	0.05305	0.04244	0.047619	0.05814	0.089888	free	0.77143	0	0.066667	RES		RES	RES	0.57111	15.349	16.502	False	True
TRANSE	6	1400	279	70	0.053763	0.039427	0.11429	0.089286	0.08	free	0.75714	0	0.014286	RAN		RAN	RAN	0.56214	15.319	21.563	False	True
REATAS	6	1400	201	57	0.0099502	0.0049751	0	0.025641	0.020833	free	0.73684	0	0	EAT		EAT	EAT	0.54751	15.25	17.896	False	True
TESTON	6	1400	172	53	0.017442	0	0	0	0.045455	free	0.79245	0	0	TON		TON	TON	0.58772	15.221	16.08	False	True
IDEATE	6	1400	148	52	0.0067568	0	0	0	0.022727	free	0.80769	0	0	EAT		EAT	EAT	0.59874	15.214	12.551	False	True
RESIST	6	1400	176	51	0.042614	0.039773	0	0.083333	0.13043	free	0.82353	0	0.019608	RES		RES	RES	0.61013	15.205	14.328	False	True
ROSEAL	6	1400	147	48	0.0034014	0	0	0	0	free	0.875	0	0	SEA		ROSE	SEA	0.64741	15.185	13.894	False	True
OLEATE	6	1400	122	47	0	0	0	0	0	free	0.89362	0	0	LEA		LEAT	LEA	0.66087	15.178	12.268	False	False
TENIAS	6	1400	286	91	0.006993	0.0034965	0	0	0.04918	free	0.45055	0	0			TEN	TEN	0.34049	15.141	12.263	False	True
RESHOT	6	1400	116	50	0.0086207	0.0086207	0.02	0.052632	0	free	0.86	0	0	RES		RES	RES	0.63656	15.064	11.203	False	True
RASTA	5	800	416	129	0.024038	0.036058	0.03876	0	0.0096154	free	0.6124	0	0.015504	RAST		RAST	RAST	0.45557	15.014	15.985	False	True
TESTA	5	800	631	167	0.03645	0.022187	0.011976	0.06383	0.072993	free	0.44311	0	0.25749		TATES,STATE	TEST	TEST	0.33341	14.989	17.86	False	True
ARSINE	6	1400	262	73	0.030534	0.034351	0.10959	0.043478	0.040541	free	0.71233	0	0.041096	SINE	RAINES	SINE	SINE	0.52965	14.984	20.263	False	True
ETENS	5	800	383	120	0.0013055	0	0	0	0	free	0.6	0	0.083333			TENS	TENS	0.44676	14.97	13.562	False	True
MATIER	6	1400	149	51	0.067114	0.10738	0.039216	0.045455	0.055556	free	0.86275	0	0	MAT		MAT	MAT	0.63854	14.936	12.876	False	True
HOSEN	5	800	254	97	0.015748	0.019685	0	0.023256	0	free	0.74227	0	0.020619		HONES	HOSE	HOSE	0.54982	14.892	12.079	False	True
TEAED	5	800	291	94	0.015464	0.010309	0	0.026316	0.033333	free	0.76596	0	0	TEA		TEA	TEA	0.56695	14.881	15.572	False	True
SOREE	5	800	294	101	0.02551	0.013605	0.029703	0.041667	0.031746	free	0.75248	0	0	REE		SORE	REE	0.55717	14.876	13.494	False	True
SIREE	5	800	321	102	0.054517	0.012461	0.0098039	0.14545	0.175	free	0.71569	0	0	REE		SIRE	REE	0.53047	14.83	14.871	False	True
ERASER	6	1400	240	57	0.079167	0.0041667	0.017544	0.21818	0.30909	free	0.73684	0	0.035088	RAS		RASER	RAS	0.54739	14.758	20.448	False	True
HOTEN	5	800	237	96	0.0084388	0.012658	0.020833	0	0	free	0.77083	0	0	HOT		HOTE	HOT	0.57049	14.734	11.856	False	True
SATEM	5	800	327	105	0.0045872	0.0030581	0	0	0.015152	free	0.67619	0	0.13333	SAT	MATES,TAMES	SATE	SAT	0.50219	14.724	13.36	False	True
STELAR	6	1400	320	83	0.0625	0.08125	0.096386	0.098361	0.072464	free	0.61446	0	0.20482	LAR	LASTER,SALTER	LAR	LAR	0.45835	14.681	19.085	False	True
