word	len	present	found	opportunity	pts	lc	beliefRaw	beliefWeighted	present_s7to10	found_s7to10	beliefWeighted_s7to10	present_train	found_train	beliefWeighted_train	present_test	found_test	beliefWeighted_test	present_q1	found_q1	beliefWeighted_q1	present_q4	found_q4	beliefWeighted_q4
GRUEING	7	5	0	2.3648	1800	7	0.047427	0.11066	1	0	0.2837				1	0	0.313	1	0	0.27618	1	0	0.29582
GRUEL	5	29	0	18.36	800	5	0.022791	0.026838	14	0	0.055444	10	0	0.068107	4	0	0.16281	2	0	0.23824	12	0	0.064095
GRUELER	7	1	0	0.66406	1800	7	0.086662	0.19012															
GRUELS	6	12	0	5.6444	1400	6	0.036111	0.061721	3	0	0.15556	3	0	0.16287				2	0	0.23657	3	0	0.15994
GRUES	5	66	6	45.418	800	5	0.096596	0.1384	25	3	0.17619	16	3	0.25533	9	0	0.076057	8	1	0.26949	20	2	0.15939
GRUFE	5	4	0	2.4995	800	5	0.095193	0.12463	2	0	0.17223	1	0	0.20136	1	0	0.25502				1	0	0.24059
GRUFES	6	2	0	1.6263	1400	6	0.099777	0.13681	1	0	0.20915	1	0	0.21913									
GRUFF	5	1	0	0.95407	800	5	0.15384	0.19325	1	0	0.19731	1	0	0.20136									
GRUFFEST	8	1	0	0	2200	7	0.086662	0.26419	1	0	0.30876	1	0	0.33664									
GRUFFNESS	9	1	0	0	2600	7	0.086662	0.26419	1	0	0.30876	1	0	0.33664									
GRUFFS	6	1	0	0.62626	1400	6	0.12113	0.19621	1	0	0.20915	1	0	0.21913									
GRUGRU	6	1	0	0.77778	1400	6	0.12113	0.1841	1	0	0.19723	1	0	0.20661							1	0	0.20257
GRUING	6	6	0	3.4871	1400	6	0.058512	0.087506	2	0	0.16805	2	0	0.17598				2	0	0.17246	1	0	0.21146
GRUM	4	43	3	32.663	400	4	0.086314	0.10884	17	1	0.12327	10	0	0.086116	7	1	0.24604	2	0	0.2326	14	1	0.14405
GRUME	5	22	0	14.923	800	5	0.028958	0.032335	11	0	0.062112	6	0	0.10582	5	0	0.10672	2	0	0.17962	9	0	0.071143
GRUMES	6	12	0	6.7517	1400	6	0.036111	0.053613	5	0	0.10185	3	0	0.15639	2	0	0.17014	1	0	0.21346	4	0	0.11949
GRUMNESS	8	1	0	0.66456	2200	7	0.086662	0.19008	1	0	0.22489				1	0	0.26165				1	0	0.23466
GRUMOSE	7	9	0	2.3803	1800	7	0.032646	0.11025	6	0	0.14646	3	0	0.19828	3	0	0.25289				5	0	0.15296
GRUMP	5	4	0	2.7435	800	5	0.095193	0.11801	3	0	0.14427	1	0	0.2214	2	0	0.18425				2	0	0.17492
GRUMPH	6	1	0	0.59048	1400	6	0.12113	0.19931															
GRUMPHIE	8	1	0	0	2200	7	0.086662	0.26419															
GRUMPHIES	9	1	0	0	2600	7	0.086662	0.26419															
GRUMPS	6	1	0	0.40388	1400	6	0.12113	0.21718	1	0	0.2295	1	0	0.24052									
GRUMPY	6	1	0	0.40388	1400	6	0.12113	0.21718	1	0	0.2295	1	0	0.24052									
GRUND	5	23	1	15.591	800	5	0.065097	0.088424	9	1	0.18308	6	0	0.097591	3	1	0.36314	4	0	0.14019	7	1	0.2314
GRUNDIES	8	2	0	0.84517	2200	7	0.07181	0.17662										1	0	0.23714			
GRUNDLE	7	3	0	0.98604	1800	7	0.061304	0.16737										1	0	0.30137			
GRUNDLES	8	2	0	0.16346	2200	7	0.07181	0.24107										1	0	0.30137			
GRUNGE	6	3	0	2.2081	1400	6	0.084822	0.11632	1	0	0.18452				1	0	0.21276				1	0	0.18958
GRUNGER	7	1	0	1	1800	7	0.086662	0.16651	1	0	0.19778				1	0	0.23604				1	0	0.20643
GRUNGERS	8	1	0	1	2200	7	0.086662	0.16651	1	0	0.19778				1	0	0.23604				1	0	0.20643
GRUNGES	7	3	0	2.061	1800	7	0.061304	0.11959	1	0	0.19778				1	0	0.23604				1	0	0.20643
