word	len	pts	n	kP	nO	kO	fieldRate	myRate	nCur	kCur	myRateCur	nStrong	strongRate	nTopQ	topQRate	dead	everAccepted	share_freeCur	share_dropTerminalCur	share_cellmateCur	share_noneCur	share_freeAll	share_dropTerminalAll	share_cellmateAll	share_noneAll	observedHost	hookStem	cellmateOf	qCur	gainPerGameCur	qAll	gainPerGameAll	reachClass	family
SENORA	6	1400	195	0	195	6	0.0153846	0	43	0	0	25	0.04	55	0	False	True	0.604651	0	0	0.395349	0.671795	0	0	0.328205	SEN			0.42352	14.8146	0.469993	17.988	free	SEN
RESES	5	800	290	12	290	20	0.0551724	0.0413793	67	2	0.0298507	54	0.037037	79	0.101266	False	True	0.686567	0	0.0895522	0.223881	0.724138	0	0.0586207	0.217241	RES		SERES	0.505459	14.8127	0.529451	15.8745	free	RES
OREADS	6	1400	125	0	125	0	0	0	33	0	0	23	0	26	0	False	False	0.787879	0	0	0.212121	0.792	0	0.008	0.2	READS	READS		0.550339	14.7738	0.553186	13.5718	free	READS
TINIES	6	1400	132	1	132	24	0.094697	0.00757576	32	0	0	27	0.296296	40	0.15	False	True	0.8125	0	0	0.1875	0.840909	0	0	0.159091	TIN	TIN		0.56738	14.7697	0.587043	15.0127	free	TIN
TISANE	6	1400	183	0	183	2	0.00546448	0	32	0	0	33	0.030303	62	0	False	True	0.8125	0	0	0.1875	0.721311	0	0.00546448	0.273224	SANE	SAN		0.56738	14.7697	0.504262	18.1119	free	SAN
INSTAR	6	1400	188	0	188	2	0.00531915	0	32	0	0	37	0.0540541	51	0.0196078	False	True	0.8125	0	0.0625	0.125	0.760638	0	0.0585106	0.180851	STAR	STAR	STRAIN,TRAINS	0.567338	14.7686	0.531446	19.6098	free	STAR
SHERIA	6	1400	116	0	116	0	0	0	31	0	0	17	0	28	0	False	False	0.83871	0	0	0.16129	0.853448	0	0.00862069	0.137931	SHE	SHE		0.585521	14.7656	0.595716	13.5629	free	SHE
AMORET	6	1400	86	0	86	1	0.00581395	0	30	0	0	16	0	16	0	False	True	0.866667	0	0	0.133333	0.918605	0	0	0.0813953	MORE	MORE		0.604871	14.7615	0.640819	10.8166	free	MORE
MISEAT	6	1400	92	0	92	2	0.0108696	0	28	0	0	17	0.0588235	23	0	False	True	0.928571	0	0	0.0714286	0.967391	0	0	0.0326087	MISE	MISE		0.647718	14.7534	0.674586	12.181	free	MISE
SERANG	6	1400	110	0	110	2	0.00909091	0	28	0	0	15	0.0666667	31	0	False	True	0.928571	0	0	0.0714286	0.927273	0	0	0.0727273	RANG	RANG	ANGERS,RANGES	0.647718	14.7534	0.646819	13.9647	free	RANG
RESOD	5	800	280	1	280	10	0.0196429	0.00357143	71	0	0	50	0	82	0.0243902	False	True	0.577465	0	0.323944	0.0985915	0.596429	0	0.282143	0.121429	RES		DORSE,DORES,RODES,DOSER	0.446101	14.7232	0.456343	14.2185	free	RES
EOSIN	5	800	278	0	278	2	0.00359712	0	74	0	0	49	0.0408163	89	0	False	True	0.581081	0	0.0135135	0.405405	0.622302	0	0.0107914	0.366906	SIN	SIN		0.426479	14.6703	0.455029	14.1873	free	SIN
TAROT	5	800	264	19	264	20	0.0738636	0.0719697	52	1	0.0192308	39	0.0512821	73	0.0958904	False	True	0.865385	0	0	0.134615	0.924242	0	0	0.0757576	TAR	TAR		0.623761	14.6127	0.664803	17.5531	free	TAR
SORTA	5	800	399	19	399	28	0.0588972	0.047619	94	4	0.0425532	65	0.0923077	113	0.0442478	False	True	0.5	0	0.0851064	0.414894	0.466165	0	0.110276	0.423559	SORT		ROAST	0.375048	14.5285	0.35325	13.6769	free	SORT
AREAL	5	800	273	1	273	4	0.00915751	0.003663	62	0	0	39	0.0512821	76	0.0131579	False	True	0.693548	0	0	0.306452	0.74359	0	0	0.25641	REAL	ARE		0.503939	14.5238	0.538833	16.386	free	ARE
TEAING	6	1400	103	1	103	9	0.0485437	0.00970874	33	1	0.030303	23	0.130435	29	0.103448	False	True	0.818182	0	0.030303	0.151515	0.786408	0	0.0679612	0.145631	TEA	TEA		0.571293	14.5228	0.549275	10.9078	free	TEA
ANTAR	5	800	258	3	258	13	0.0310078	0.0116279	57	2	0.0350877	43	0.0697674	78	0.0641026	False	True	0.807018	0	0	0.192982	0.837209	0	0	0.162791	ANT	TAR		0.583062	14.5192	0.604114	17.1441	free	TAR
LINEAR	6	1400	143	9	143	12	0.0734266	0.0629371	29	1	0.0344828	33	0.212121	40	0.075	False	True	0.931034	0	0	0.0689655	0.951049	0	0.013986	0.034965	LINE	LINE		0.649422	14.507	0.663266	16.8493	free	LINE
ALIST	5	800	342	0	342	15	0.0219298	0	72	0	0	64	0.0625	130	0.0384615	False	True	0.583333	0	0.0555556	0.361111	0.502924	0	0.0672515	0.429825	LIST		TAILS	0.431049	14.4267	0.375813	14.415	free	LIST
RETRO	5	800	344	5	344	11	0.0232558	0.0145349	89	1	0.011236	66	0.0757576	100	0.04	False	True	0.483146	0	0	0.516854	0.497093	0	0	0.502907	RET			0.357225	14.314	0.36695	13.5966	free	RET
ENTERA	6	1400	226	0	226	30	0.0663717	0	51	0	0	50	0.24	53	0.226415	False	True	0.490196	0	0.0196078	0.490196	0.553097	0	0.0221239	0.424779	ENTER			0.344289	14.2837	0.387823	17.2028	free	ENTER
STERNA	6	1400	272	0	272	28	0.0514706	0	51	0	0	63	0.269841	80	0.1	False	True	0.490196	0	0.0392157	0.470588	0.419118	0	0.0367647	0.544118	STERN			0.344275	14.2831	0.295081	15.7531	free	STERN
HOTEN	5	800	177	2	177	2	0.0112994	0.0112994	49	1	0.0204082	35	0.0285714	59	0	False	True	0.897959	0	0	0.102041	0.853107	0	0	0.146893	TEN	TEN		0.646476	14.2602	0.6152	11.9883	free	TEN
SANTERO	7	1800	101	1	101	15	0.0792079	0.00990099	28	0	0	19	0.157895	16	0.3125	False	True	0.714286	0	0	0.285714	0.742574	0	0	0.257426	SANT	SAN		0.485661	14.2227	0.504381	12.6029	free	SAN
ARSINO	6	1400	113	0	113	1	0.00442478	0	32	0	0	19	0	30	0.0333333	False	True	0.78125	0	0	0.21875	0.716814	0	0	0.283186	SIN	SIN		0.545751	14.2067	0.501153	11.1149	free	SIN
REALOS	6	1400	124	0	124	6	0.0241935	0	31	0	0	17	0.235294	33	0.0606061	False	True	0.806452	0	0	0.193548	0.758065	0	0	0.241935	REAL	LOS		0.563194	14.2026	0.529703	12.8917	free	LOS
TORTEN	6	1400	112	0	112	4	0.0178571	0	31	0	0	15	0	29	0.0344828	False	True	0.806452	0	0	0.193548	0.875	0	0	0.125	TORTE	TORTE		0.563194	14.2026	0.610639	13.4233	free	TORTE
RESHOT	6	1400	120	1	120	3	0.0166667	0.00833333	30	0	0	23	0.0869565	38	0	False	True	0.833333	0	0	0.166667	0.9	0	0.0166667	0.0833333	SHOT	SHO		0.5818	14.1985	0.627931	14.5931	free	SHO
ROSEAL	6	1400	130	0	130	2	0.00769231	0	28	0	0	14	0	42	0	False	True	0.892857	0	0	0.107143	0.846154	0	0	0.153846	ROSE	ROSE		0.622998	14.1903	0.590673	15.0712	free	ROSE
