word	len	pts	n	nCur	fieldRate	myRate	myRateCur	strongRate	topQRate	reachClass	share_freeCur	share_dropTerminalCur	share_cellmateCur	hookStem	cellmateOf	observedHost	family	qCur	gainPerGameCur	gainPerGameAll	dead	everAccepted
DONNA	5	800	53	19	0.084906	0	0	0.57143	0.10526	free	0.63158	0	0	DON		DON	DON	0.46073	4.0692	2.9362	False	True
ARPENT	6	1400	53	15	0.075472	0.09434	0.13333	0.11111	0.076923	free	0.66667	0	0	PENT	PANTER	PENT	PENT	0.46644	4.0647	3.1455	False	True
COOER	5	800	60	18	0.075	0.033333	0	0	0.18182	free	0.66667	0	0	COO		COO	COO	0.48519	4.0597	3.6663	False	True
HEMAL	5	800	58	18	0.025862	0	0	0	0.052632	free	0.66667	0	0	MAL		MAL	MAL	0.48519	4.0597	3.0258	False	True
SNASTE	6	1400	155	29	0	0	0	0	0	free	0.24138	0	0.10345		STANES,STEANS	NAS	NAS	0.17202	4.058	3.8141	True	False
ADRED	5	800	120	31	0.0041667	0	0	0	0.028571	free	0.35484	0	0.19355			RED	RED	0.28156	4.0574	3.9546	False	True
ANISES	6	1400	136	28	0.047794	0.0073529	0	0.125	0.025641	free	0.25	0	0			NIS	NIS	0.17805	4.0556	4.4205	False	True
SADOS	5	800	66	17	0.022727	0	0	0.090909	0.052632	free	0.70588	0	0	DOS		DOS	DOS	0.51254	4.0503	3.4351	False	True
SODAS	5	800	66	17	0.05303	0.015152	0	0.090909	0.15789	free	0.70588	0	0			SOD	SOD	0.51254	4.0503	2.8537	False	True
PASTOR	6	1400	53	11	0.09434	0.056604	0.18182	0.1	0.125	free	0.90909	0	0	PAST		PAST	PAST	0.63423	4.0484	5.8482	False	True
BURET	5	800	52	13	0.096154	0.038462	0	0.1	0.10526	free	0.92308	0	0.076923	BUR	TUBER	BUR	BUR	0.66948	4.0457	3.6641	False	True
COHEN	5	800	53	16	0	0	0	0	0	free	0.75	0	0	HEN		HEN	HEN	0.5433	4.0408	2.7798	True	False
INANER	6	1400	87	24	0.017241	0	0	0	0.095238	free	0.29167	0	0			ANE	ANE	0.20689	4.0393	3.346	False	True
SISTRA	6	1400	95	23	0	0	0	0	0	free	0.30435	0	0			SIST	SIST	0.21567	4.0352	3.3535	False	False
CONTO	5	800	65	15	0.046154	0	0	0.4	0.076923	free	0.8	0	0	CON		CON	CON	0.57817	4.0314	4.2149	False	True
TACAN	5	800	65	15	0	0	0	0	0	free	0.8	0	0	CAN		CAN	CAN	0.57817	4.0314	4.4495	True	False
TONEY	5	800	66	15	0.045455	0.015152	0	0.16667	0.041667	free	0.8	0	0	TONE		TONE	TONE	0.57817	4.0314	4.105	False	True
PENIE	5	800	78	15	0.038462	0.012821	0	0	0.090909	free	0.8	0	0	PEN		PEN	PEN	0.57817	4.0314	4.2106	False	True
TAPET	5	800	100	15	0.025	0.01	0	0.14286	0.027027	free	0.8	0	0	TAPE	PATTE	TAPE	TAPE	0.57817	4.0314	6.7091	False	True
AGREE	5	800	67	15	0.037313	0	0	0.14286	0.1	free	0.8	0	0	GREE		GREE	GREE	0.57817	4.0314	4.6185	False	True
RERISE	6	1400	116	21	0.025862	0.0086207	0	0	0.071429	free	0.33333	0	0			RISE	RISE	0.23573	4.027	7.5254	False	True
SHEOL	5	800	81	22	0.0061728	0.012346	0.045455	0	0	free	0.59091	0	0.090909	SHE	HOLES	SHE	SHE	0.43885	4.0231	4.2574	False	True
ALLEE	5	800	59	14	0.0084746	0	0	0	0.05	free	0.85714	0	0	LEE		LEE	LEE	0.61801	4.0219	3.732	False	True
WITAN	5	800	57	14	0.0087719	0	0	0	0.045455	free	0.85714	0	0	WIT	TWAIN	WIT	WIT	0.61801	4.0219	3.8216	False	True
TERAPH	6	1400	61	19	0	0	0	0	0	free	0.36842	0	0	RAP		RAP	RAP	0.26002	4.0189	4.543	True	False
RELISH	6	1400	80	19	0.03125	0.0125	0	0.052632	0	free	0.36842	0	0			LIS	LIS	0.26002	4.0189	3.5756	False	True
TSADES	6	1400	79	19	0.0063291	0	0	0	0	free	0.36842	0	0.26316		STEADS	SADES	SADES	0.25984	4.0161	3.6084	False	True
ERIACH	6	1400	60	18	0	0	0	0	0	free	0.38889	0	0			ACH	ACH	0.27418	4.0148	3.0477	True	False
SNATHS	6	1400	70	18	0.014286	0	0	0	0.045455	free	0.38889	0	0			NAT	NAT	0.27418	4.0148	3.0576	False	True
SAGIER	6	1400	55	18	0.018182	0	0	0	0	free	0.38889	0	0			SAG	SAG	0.27418	4.0148	4.2654	False	True
POTSIE	6	1400	58	18	0.017241	0	0	0	0	free	0.38889	0	0.055556	POT		POT	POT	0.27415	4.0142	4.5397	False	True
SIETHS	6	1400	68	18	0	0	0	0	0	free	0.38889	0	0.11111		SHITES	ETHS	ETHS	0.27411	4.0137	3.5981	True	False
PAREU	5	800	55	13	0.0090909	0.018182	0	0	0	free	0.92308	0	0	PARE		PARE	PARE	0.66399	4.0125	4.0017	False	True
STOLID	6	1400	55	17	0.0090909	0.018182	0	0	0	free	0.41176	0	0			LID	LID	0.29002	4.0107	2.0314	False	True
SEISED	6	1400	81	17	0	0	0	0	0	free	0.41176	0	0			SEI	SEI	0.29002	4.0107	4.5627	False	False
