gid	dOpen	margin	dN
5809	-0.0666667	10200	-11
5812	0.2	5700	4
5816	0.133333	-200	9
5818	-0.6	-8300	18
5825	0.333333	100	5
5826	1.06667	-2000	1
5827	0.2	-8400	6
5828	0	5700	-2
5829	0.2	12300	27
5830	-0.0666667	-6800	-11
5832	-0.533333	1600	16
5833	0.8	-1100	-10
5834	0.4	-2600	-6
5835	-0.666667	6800	12
5836	-0.133333	7600	15
5837	-0.333333	-2800	6
5838	0.266667	2700	3
5839	0.133333	4400	12
5840	0.466667	2600	-12
5855	0.0666667	-400	27
5856	0.4	6500	9
5857	-0.0666667	600	11
5858	-0.266667	-700	18
5859	0.266667	4000	17
5862	1.4	8400	12
5863	0.933333	4100	4
5865	0.466667	-600	2
5867	0.8	-4600	7
5868	0.266667	-7300	-10
5874	0.333333	14200	13
5878	0.266667	-1800	3
5879	0.533333	14900	2
5880	0.266667	8500	24
5883	0.6	-1200	0
5885	0.333333	6200	10
5886	0.4	-5200	9
5891	0.133333	-2600	21
5901	0	-3000	-1
5902	0.266667	-7200	-8
5903	0.333333	8200	5
5905	0.466667	900	6
5906	0.2	700	7
5942	0.266667	4000	18
5943	0.466667	-16700	-8
5944	0.666667	-5400	-2
5945	0	500	10
5946	0.666667	-11300	6
5947	0.2	4600	9
5948	0.4	12400	19
5949	0.933333	2200	11
5950	0.0666667	20300	28
5956	0.133333	4300	9
6029	0.2	16700	30
6031	-0.0666667	500	6
6032	0.333333	7900	22
6034	0.533333	1300	-8
6036	0.133333	400	4
6038	0.466667	8500	11
6040	-0.333333	-100	2
6044	0.0666667	-2300	14
6050	0	-12100	6
6051	1.2	6300	-3
6052	0.6	1800	17
6059	0.2	6300	6
6060	0.666667	-3200	0
6061	0.933333	11700	13
6062	0.466667	-2900	10
6063	0.6	-8300	0
6064	-0.266667	18100	19
6065	0.2	8300	21
6070	0.333333	100	5
6079	0.4	12900	14
6094	0.266667	600	-1
6123	0.466667	-8000	-14
6124	0.8	-8200	-2
6125	-0.266667	-5800	13
6126	-0.0666667	-500	18
6127	0.266667	2600	7
6130	0.266667	-1200	23
6135	-0.2	2200	14
6158	0.733333	-1800	-11
6159	-0.466667	-14200	3
6161	1.33333	12200	10
6162	0.266667	6400	14
6164	0.866667	1100	2
6167	0.466667	200	9
6169	0.2	400	9
6171	0.866667	7100	-8
6172	0.2	2900	18
6174	0.2	10000	9
6227	1	-200	3
6301	0.466667	1700	7
6302	0.2	-700	21
6303	0.0666667	-2200	2
6304	-0.8	-11400	-7
6305	-0.2	9400	7
6307	0.333333	600	10
6308	-0.8	8100	21
6309	0.666667	3200	10
6311	0.666667	-1200	-1
6313	0.4	-4600	-4
6314	0.0666667	-1600	0
6315	0.533333	8100	8
6316	1.13333	2500	9
6317	0.133333	-6700	-10
6318	0.6	15000	25
6319	0.466667	5200	0
6321	0.733333	8300	13
6322	0.733333	-6600	2
6323	0.133333	-14100	3
6324	0.133333	-15100	-25
6326	0.533333	10300	18
6329	-0.133333	8200	-4
6331	-0.0666667	-3200	1
6332	0.0666667	-17600	2
6333	0.533333	-1800	-6
6353	0.333333	3900	9
6354	-0.4	-1200	7
6355	0.4	-18200	-31
6358	0	2000	10
6360	-0.0666667	-3500	3
6363	0.533333	100	-5
6365	0.533333	4100	1
6366	-0.266667	-5900	7
6367	0.266667	6400	23
6368	0.133333	7700	25
6371	0.666667	6600	5
6372	-0.133333	-2700	3
6373	0.8	14400	13
6431	0.733333	2400	16
6448	0.6	18700	18
6449	-0.333333	1900	9
6459	1	20400	8
6460	-0.333333	1200	1
6461	0.866667	4700	4
6497	1.13333	-1000	-13
6498	0.266667	-11400	-2
6499	0.0666667	-8500	-14
6500	0.6	3400	-1
6501	0.133333	-700	0
6503	-0.533333	-10600	-10
6504	0.266667	-7300	1
6505	0.466667	16800	24
6506	0.266667	16700	15
6507	0.4	-4300	-11
6508	-0.266667	6500	4
6509	0.133333	-4700	11
6510	0.266667	7900	1
6511	0.733333	-11300	-20
6512	-0.2	-8800	-16
6514	0.266667	-5400	-18
6515	0.6	7400	5
6516	-0.333333	-10800	-7
6517	-0.0666667	500	17
6518	0.266667	-16200	-19
6519	0.333333	-4400	-3
6520	1.4	8000	-13
6521	0.133333	-12600	-13
6522	0.333333	-2500	2
6524	0.6	13000	22
6525	0.933333	-2300	0
6526	-0.133333	-2800	-17
6528	0.0666667	600	4
6529	0.0666667	-2000	1
6530	0	4300	-5
6532	0.2	-9900	2
6533	-0.2	-3800	-15
6535	0.0666667	-2100	-6
6537	0.466667	-900	9
6539	0.2	-18500	-12
6546	-0.133333	-5700	-1
6547	0.133333	13200	14
6549	0.8	6100	23
6745	0.4	8600	9
6746	0.133333	17200	29
6747	0.2	6400	-12
6748	0.133333	1200	14
6818	-0.333333	600	6
6842	0.733333	5800	18
6849	-0.466667	28300	22
6857	0.933333	34300	5
6859	0.6	-8400	4
6865	0.4	6700	9
6870	0.733333	-2400	-1
6872	0.866667	12400	19
6875	0.2	10200	18
6881	0.466667	-3200	9
6882	0.2	1000	9
6888	-0.266667	600	-8
6889	0.333333	13900	20
6890	-0.0666667	3400	22
6891	0	16200	20
6892	-0.133333	3500	10
6908	0.866667	-4100	11
6953	-0.133333	7900	24
6969	0.2	5600	15
6971	0.6	6300	4
6989	-0.0666667	7000	-5
6991	0.2	-4400	-3
6993	0.0666667	1700	-2
7004	-0.2	6100	7
7013	0.0666667	-100	32
7015	-0.133333	-3500	10
7017	0.666667	600	4
7021	0	-1400	13
7022	0.4	3900	5
7039	0.333333	25200	10
7040	0.0666667	-1500	4
7045	0.8	2300	11
7082	0.133333	5700	11
7083	0.6	5600	19
7084	0.133333	9500	-3
7085	-0.133333	-1800	12
7086	0.533333	2500	5
7087	0.0666667	6900	15
7089	0.0666667	11800	3
7090	0.533333	-9000	-15
7105	0.2	-700	-4
7106	0.533333	-1800	1
7107	0	1100	12
7108	0.466667	-6200	4
7115	0.666667	-6600	7
7118	0.933333	400	-11
7123	0.133333	-2200	4
7124	0.666667	400	9
7125	-0.466667	-900	12
