word	times	strengthWeighted	inLosses	len	pts	present	playerFound	oppFound	pointsTotal	strengthWeightedPoints	playerFindRate	oppFindRate	excessPoints	anagramKey	anagramDictSize	branchStem
RETINA	57	29.299	35	6	1400	323	57	83	79800	41018.6	0.176471	0.256966	36400	AEINRT	3	TINA
DARES	109	51.1111	56	5	800	481	259	268	87200	40888.9	0.538462	0.557173	7200	ADERS	7	DARE
SATED	111	51.0763	51	5	800	487	74	136	88800	40861	0.151951	0.279261	49600	ADEST	7	SATE
LATEN	107	50.8182	56	5	800	429	22	116	85600	40654.6	0.0512821	0.270396	75200	AELNT	2	LATE
RASES	102	50.6149	54	5	800	376	160	194	81600	40491.9	0.425532	0.515957	27200	AERSS	5	RASE
DEARS	102	50.3835	56	5	800	438	220	226	81600	40306.8	0.502283	0.515982	4800	ADERS	7	DEAR
TIRE	226	99.7917	100	4	400	1276	685	597	90400	39916.7	0.536834	0.467868	-35200	EIRT	4	IRE
ELATE	102	49.717	58	5	800	413	127	171	81600	39773.6	0.307506	0.414044	35200	AEELT	2	LATE
STERE	101	49.5918	60	5	800	649	173	157	80800	39673.4	0.266564	0.241911	-12800	EERST	9	ERE
HASTEN	58	28.297	34	6	1400	137	9	67	81200	39615.7	0.0656934	0.489051	81200	AEHNST	4	HASTE
REAL	217	98.2847	95	4	400	1039	426	438	86800	39313.9	0.41001	0.421559	4800	AELR	7	
SITE	222	97.8354	86	4	400	1320	603	521	88800	39134.2	0.456818	0.394697	-32800	EIST	3	SIT
RESIT	97	48.8812	55	5	800	727	267	181	77600	39104.9	0.367263	0.248968	-68800	EIRST	7	RES
LINES	111	48.8676	55	5	800	407	233	267	88800	39094.1	0.572482	0.65602	27200	EILNS	6	LINE
TATERS	59	27.9019	36	6	1400	220	131	140	82600	39062.7	0.595455	0.636364	12600	AERSTT	7	TATER
STAR	208	97.3028	103	4	400	1395	902	770	83200	38921.1	0.646595	0.551971	-52800	ARST	6	TAR
ATONER	60	27.7812	36	6	1400	189	29	74	84000	38893.7	0.153439	0.391534	63000	AENORT	2	ATONE
NITER	111	48.5081	48	5	800	709	430	342	88800	38806.5	0.606488	0.48237	-70400	EINRT	5	NITE
SANES	111	48.5024	52	5	800	397	149	182	88800	38801.9	0.375315	0.458438	26400	AENSS	4	SANE
SANEST	57	27.6024	36	6	1400	184	0	57	79800	38643.3	0	0.309783	79800	AENSST	5	SANES
RAST	227	96.496	78	4	400	1202	507	499	90800	38598.4	0.421797	0.415141	-3200	ARST	6	RAS
SEATER	59	27.5649	32	6	1400	318	172	165	82600	38590.9	0.540881	0.518868	-9800	AEERST	9	EATER
TRINE	107	48.1757	51	5	800	493	219	235	85600	38540.5	0.444219	0.476673	12800	EINRT	5	TRIN
SANE	215	96.058	92	4	400	1053	384	405	86000	38423.2	0.364672	0.384615	8400	AENS	6	SAN
LATENS	58	27.3114	30	6	1400	212	11	64	81200	38236	0.0518868	0.301887	74200	AELNST	1	LATEN
TONES	109	47.7457	48	5	800	489	314	345	87200	38196.5	0.642127	0.705521	24800	ENOST	6	TONE
DERAT	81	47.741	52	5	800	574	117	115	64800	38192.8	0.203833	0.200348	-1600	ADERT	6	ERA
RATERS	59	27.2367	35	6	1400	297	193	185	82600	38131.4	0.649832	0.622896	-11200	AERRST	8	RATER
STALE	103	47.6556	54	5	800	511	290	259	82400	38124.5	0.567515	0.506849	-24800	AELST	12	TALE
CATES	106	47.5399	50	5	800	362	151	200	84800	38031.9	0.417127	0.552486	39200	ACEST	5	CATE
SINE	214	95.0091	105	4	400	1235	626	538	85600	38003.7	0.506883	0.435628	-35200	EINS	3	SIN
SIRE	213	94.9057	94	4	400	1337	694	535	85200	37962.3	0.519073	0.40015	-63600	EIRS	5	SIR
TASED	105	47.3336	46	5	800	418	119	156	84000	37866.9	0.284689	0.373206	29600	ADEST	7	TASE
LISTER	56	27.0177	35	6	1400	243	134	136	78400	37824.8	0.55144	0.559671	2800	EILRST	5	LIST
ROSET	95	47.1639	58	5	800	594	186	163	76000	37731.1	0.313131	0.274411	-18400	EORST	7	ROSE
EATS	222	94.0612	82	4	400	1501	552	418	88800	37624.5	0.367755	0.278481	-53600	AEST	10	EAT
SLATER	53	26.8277	32	6	1400	259	157	139	74200	37558.8	0.606178	0.53668	-25200	AELRST	12	SLATE
NEAREST	44	20.8463	24	7	1800	131	0	44	79200	37523.3	0	0.335878	79200	AEENRST	5	NEAR
TRIE	201	93.6336	102	4	400	1005	173	271	80400	37453.4	0.172139	0.269652	39200	EIRT	4	
TERES	95	46.5529	47	5	800	647	182	149	76000	37242.4	0.281298	0.230294	-26400	EERST	9	ERES
NESTER	54	26.5311	34	6	1400	286	114	97	75600	37143.6	0.398601	0.339161	-23800	EENRST	9	ESTER
LADERS	55	26.3049	36	6	1400	124	11	65	77000	36826.9	0.0887097	0.524194	75600	ADELRS	3	LADER
SITES	99	45.9259	49	5	800	493	223	217	79200	36740.7	0.452333	0.440162	-4800	EISST	2	SITE
TILES	97	45.9234	57	5	800	395	234	259	77600	36738.7	0.592405	0.655696	20000	EILST	7	TILE
REAST	98	45.8036	48	5	800	836	433	231	78400	36642.9	0.517943	0.276316	-161600	AERST	13	EAST
SINES	99	45.7532	52	5	800	471	244	223	79200	36602.5	0.518047	0.473461	-16800	EINSS	5	SINE
TOSE	203	91.4776	87	4	400	974	236	297	81200	36591.1	0.2423	0.304928	24400	EOST	2	OSE
ORATED	49	26.1333	28	6	1400	183	22	54	68600	36586.6	0.120219	0.295082	44800	ADEORT	4	ORATE
RINES	95	45.4862	43	5	800	622	393	310	76000	36389	0.631833	0.498392	-66400	EINRS	7	RINE
ROSE	197	90.509	91	4	400	1050	559	478	78800	36203.6	0.532381	0.455238	-32400	EORS	6	OSE
REALS	93	45.2496	51	5	800	439	207	198	74400	36199.7	0.471526	0.451025	-7200	AELRS	9	REAL
STEIN	92	45.1614	53	5	800	706	171	140	73600	36129.1	0.24221	0.1983	-24800	EINST	8	TEIN
SEARE	99	45.1476	33	5	800	660	376	281	79200	36118.1	0.569697	0.425758	-76000	AEERS	4	SEAR
STARER	52	25.7985	28	6	1400	213	115	111	72800	36117.9	0.539906	0.521127	-5600	AERRST	8	STARE
RASER	93	45.0673	43	5	800	466	150	146	74400	36053.8	0.321888	0.313305	-3200	AERRS	4	RASE
DERATE	44	25.7232	30	6	1400	241	65	70	61600	36012.4	0.26971	0.290456	7000	ADEERT	3	DERAT
RETIES	55	25.5749	26	6	1400	267	9	57	77000	35804.8	0.0337079	0.213483	67200	EEIRST	2	RETIE
REATES	50	25.4963	30	6	1400	384	200	116	70000	35694.8	0.520833	0.302083	-117600	AEERST	9	REATE
STADE	90	44.5805	52	5	800	342	56	111	72000	35664.4	0.163743	0.324561	44000	ADEST	7	TAD
LIES	192	89.0436	96	4	400	874	186	263	76800	35617.5	0.212815	0.300915	30800	EILS	5	LIE
EARS	203	88.9643	79	4	400	1321	549	395	81200	35585.7	0.415594	0.299016	-61600	AERS	7	EAR
TRINS	95	44.3474	52	5	800	378	48	115	76000	35477.9	0.126984	0.304233	53600	INRST	2	TRIN
NITRES	53	25.2723	30	6	1400	355	161	143	74200	35381.3	0.453521	0.402817	-25200	EINRST	10	NITRE
RENS	191	88.4489	98	4	400	1193	299	283	76400	35379.6	0.250629	0.237217	-6400	ENRS	2	REN
TASERS	55	25.216	33	6	1400	241	116	117	77000	35302.4	0.481328	0.485477	1400	AERSST	7	TASER
SEATS	101	44.097	43	5	800	557	259	219	80800	35277.6	0.464991	0.393178	-32000	AESST	6	SEAT
RESET	92	44.0454	51	5	800	536	171	152	73600	35236.3	0.31903	0.283582	-15200	EERST	9	RES
TORSE	97	44.0266	49	5	800	512	253	224	77600	35221.2	0.494141	0.4375	-23200	EORST	7	TORS
TIRED	97	43.8623	54	5	800	418	89	130	77600	35089.8	0.212919	0.311005	32800	DEIRT	3	TIRE
ROTE	191	87.2309	81	4	400	1008	558	507	76400	34892.4	0.553571	0.502976	-20400	EORT	2	ROT
TIDES	100	43.5133	57	5	800	345	142	187	80000	34810.7	0.411594	0.542029	36000	DEIST	7	TIDE
STEED	93	43.4139	44	5	800	276	37	109	74400	34731.1	0.134058	0.394928	57600	DEEST	3	TEED
LASE	180	86.8107	78	4	400	952	510	464	72000	34724.3	0.535714	0.487395	-18400	AELS	6	LAS
DATERS	53	24.7806	27	6	1400	227	143	149	74200	34692.8	0.629956	0.656388	8400	ADERST	6	DATER
TALERS	51	24.7779	29	6	1400	238	121	116	71400	34689.1	0.508403	0.487395	-7000	AELRST	12	TALER
SORE	187	86.5385	78	4	400	1132	562	475	74800	34615.4	0.496466	0.419611	-34800	EORS	6	ORE
RETINE	54	24.6958	30	6	1400	254	42	70	75600	34574.1	0.165354	0.275591	39200	EEINRT	4	TINE
NARES	93	43.1464	47	5	800	758	162	142	74400	34517.1	0.21372	0.187335	-16000	AENRS	6	NARE
RALES	87	43.1288	49	5	800	487	218	187	69600	34503.1	0.447639	0.383984	-24800	AELRS	9	RALE
