word	len	trials	finds	vowelInitial	removedByFlux	commonEnglish	comparable	compP10	compMedian	pZeroAtP10	pZeroAtMedian	compP10SameInitial	compMedianSameInitial	pZeroAtP10SameInitial	pZeroAtMedianSameInitial	qAtMedian	qAtMedianSameInitial	qAtP10SameInitial
ELIADS	6	114	0	True	False	False	1379	0.01136	0.1181	0.2718	6.03e-07	0.008961	0.03125	0.3584	0.0268	7.56e-07	0.03104	0.3971
ELMEN	5	100	0	True	False	False	1526	0.01351	0.125	0.2565	1.588e-06	0.01016	0.03	0.36	0.04755	1.821e-06	0.0497	0.3971
EMACS	5	120	0	True	False	False	1502	0.0119	0.1309	0.2376	4.906e-08	0.008475	0.02459	0.3601	0.0504	7.562e-08	0.05212	0.3971
EMETIN	6	100	0	True	False	False	1506	0.0125	0.1144	0.2843	5.273e-06	0.009543	0.03125	0.3833	0.0418	5.291e-06	0.04401	0.3971
EMEU	4	102	0	True	False	False	712	0.01887	0.1461	0.1433	1.01e-07	0.009016	0.03409	0.397	0.02907	1.47e-07	0.03341	0.403
ENGIRT	6	108	0	True	False	True	1418	0.01163	0.1154	0.2828	1.776e-06	0.009434	0.03125	0.3593	0.03242	2.005e-06	0.03668	0.3971
ENIACS	6	130	0	True	False	False	1235	0.01042	0.1224	0.2563	4.221e-08	0.008475	0.03125	0.3308	0.01613	6.684e-08	0.02067	0.3971
ENISLE	6	190	0	True	False	True	872	0.01151	0.141	0.1109	2.89e-13	0.006015	0.03673	0.3178	0.0008163	1.085e-12	0.001296	0.3971
ENLARD	6	100	0	True	False	True	1506	0.0125	0.1144	0.2843	5.273e-06	0.009543	0.03125	0.3833	0.0418	5.291e-06	0.04401	0.3971
ENOSIS	6	130	0	True	False	False	1235	0.01042	0.1224	0.2563	4.221e-08	0.008475	0.03125	0.3308	0.01613	6.684e-08	0.02067	0.3971
ENSEW	5	142	0	True	False	False	1432	0.01	0.1278	0.24	3.677e-09	0.006667	0.02632	0.3868	0.02267	7.51e-09	0.0269	0.3985
ENTASES	7	102	0	True	False	False	469	0.01603	0.1182	0.1924	2.683e-06	0.01316	0.03968	0.259	0.01608	2.904e-06	0.02067	0.3971
ENUF	4	126	0	True	False	False	803	0.01923	0.1582	0.08658	3.754e-10	0.007977	0.04146	0.3646	0.004818	8.785e-10	0.006726	0.3971
EOLIAN	6	124	0	True	False	False	1281	0.01064	0.1176	0.2655	1.818e-07	0.008744	0.03125	0.3366	0.01951	2.484e-07	0.02374	0.3971
EONIAN	6	114	0	True	False	False	1379	0.01136	0.1181	0.2718	6.03e-07	0.008961	0.03125	0.3584	0.0268	7.56e-07	0.03104	0.3971
EPHA	4	294	0	True	False	True	941	0.01974	0.1905	0.002849	1.046e-27	0.004303	0.02616	0.2814	0.0004121	1.286e-26	0.0006728	0.3971
EPHAS	5	146	0	True	False	False	1403	0.01075	0.1284	0.2063	1.94e-09	0.006667	0.02747	0.3766	0.01713	4.078e-09	0.02173	0.3971
EPRIS	5	292	0	True	False	False	1082	0.009753	0.154	0.05716	6.267e-22	0.004441	0.03472	0.2726	3.298e-05	5.327e-21	5.59e-05	0.3971
EPRISE	6	144	0	True	False	False	1150	0.009434	0.1185	0.2554	1.287e-08	0.007716	0.03086	0.3278	0.01095	2.325e-08	0.01438	0.3971
ERBIA	5	136	0	True	False	True	1427	0.01042	0.1288	0.2407	7.192e-09	0.006757	0.02459	0.3977	0.03384	1.39e-08	0.03806	0.403
EREV	4	288	0	True	False	False	936	0.01958	0.189	0.003366	6.307e-27	0.004288	0.02632	0.2901	0.0004618	7.291e-26	0.0007518	0.3971
ERHU	4	248	0	True	False	False	943	0.0203	0.1854	0.006185	8.224e-23	0.004673	0.02951	0.313	0.0005941	7.667e-22	0.0009628	0.3971
ERIACH	6	120	0	True	False	False	1349	0.01111	0.121	0.2616	1.908e-07	0.008929	0.03125	0.3409	0.02215	2.583e-07	0.02634	0.3971
ERICA	5	408	0	True	False	False	826	0.01078	0.1875	0.012	1.614e-37	0.005051	0.04603	0.1267	4.478e-09	2.827e-36	1.149e-08	0.3971
ERICAS	6	132	0	True	False	False	1196	0.01	0.1216	0.2654	3.703e-08	0.008475	0.03086	0.3252	0.01595	6.047e-08	0.02067	0.3971
