word	len	present	found	opp	pts	lc	beliefRaw	beliefWeighted	refN	refK	refRate	p	q	refForgone	foundStem	kind	reference
SECTOR	6	14	0	8.53064	1400	6	0.0271362	0.035165	5	2	0.4	0.000783642	0.0378602	7840	SECT	branch miss	topQuartile
RATAN	5	49	0	34.2473	800	5	0.0123675	0.0132127	10	2	0.2	1.78406e-05	0.00180695	7840	RATA	branch miss	topQuartile
IDEAL	5	63	0	44.3978	800	5	0.0097348	0.01029	13	2	0.153846	2.68725e-05	0.00256837	7753.85	DEAL	branch miss	topQuartile
ETNAS	5	121	0	90.7101	800	5	0.00517288	0.00512131	25	2	0.08	4.15267e-05	0.00368832	7744	NAS	branch miss	topQuartile
HOUTED	6	11	0	8.13153	1400	6	0.0332973	0.036686	6	3	0.5	0.000488281	0.0266674	7700	HOUT	branch miss	topQuartile
TENIA	5	144	0	102.5	800	5	0.00436224	0.00454066	30	2	0.0666667	4.84502e-05	0.00417669	7680	TEN	branch miss	topQuartile
FESTA	5	32	0	23.3597	800	5	0.0184147	0.0190016	10	3	0.3	1.10443e-05	0.00127779	7680	FEST	branch miss	topQuartile
SIENT	5	105	0	76.7576	800	5	0.00594088	0.0060345	22	2	0.0909091	4.50576e-05	0.00392269	7636.36	SIEN	branch miss	topQuartile
APTER	5	38	0	28.3349	800	5	0.0157045	0.0158319	12	3	0.25	1.78784e-05	0.00180695	7600	APT	branch miss	topQuartile
AMINO	5	38	0	24.794	800	5	0.0157045	0.0179648	12	3	0.25	1.78784e-05	0.00180695	7600	AMIN	branch miss	topQuartile
ANODE	5	52	0	36.7956	800	5	0.01169	0.0123332	11	2	0.181818	2.93894e-05	0.00277872	7563.64	NODE	branch miss	topQuartile
SERAC	5	102	0	77.8755	800	5	0.006111	0.0059495	22	2	0.0909091	5.99717e-05	0.00483497	7418.18	SERA	branch miss	topQuartile
DONOR	5	23	0	16.8373	800	5	0.0248464	0.0257641	5	2	0.4	7.8973e-06	0.000964458	7360	DON	branch miss	topQuartile
ARMET	5	49	0	35.4188	800	5	0.0123675	0.0127933	16	3	0.1875	3.81369e-05	0.00345709	7350	ARM	branch miss	topQuartile
ANILS	5	55	0	35.7064	800	5	0.0110829	0.0126944	12	2	0.166667	4.41602e-05	0.00388301	7333.33	NILS	branch miss	topQuartile
EMOTE	5	25	0	18.451	800	5	0.0230568	0.0236792	11	4	0.363636	1.23775e-05	0.00141345	7272.73	MOTE	branch miss	topQuartile
METED	5	27	0	20.7651	800	5	0.0215077	0.0212169	6	2	0.333333	1.76009e-05	0.00180695	7200	METE	branch miss	topQuartile
EDITS	5	87	0	63.2494	800	5	0.00713214	0.00729362	20	2	0.1	0.000104496	0.00785325	6960	DITS	branch miss	topQuartile
TANTI	5	52	0	38.4401	800	5	0.01169	0.0118253	12	2	0.166667	7.63089e-05	0.00593791	6933.33	ANTI	branch miss	topQuartile
SEMI	4	121	0	91.9497	400	4	0.00815988	0.00798767	29	4	0.137931	1.58702e-08	4.10432e-06	6675.86		true gap	topQuartile
ALTAR	5	29	0	20.5356	800	5	0.0201537	0.021438	7	2	0.285714	5.78478e-05	0.00483497	6628.57	ALT	branch miss	topQuartile
ANOW	4	29	0	23.0839	400	4	0.0309741	0.0297745	7	4	0.571429	2.13144e-11	1.24945e-08	6628.57	NOW	branch miss	topQuartile
PRESA	5	58	0	43.4262	800	5	0.0105358	0.0105126	14	2	0.142857	0.000130944	0.00967556	6628.57	PRE	branch miss	topQuartile
ROUES	5	37	0	29.255	800	5	0.0160994	0.0153581	9	2	0.222222	9.15492e-05	0.00699993	6577.78		true gap	topQuartile
