affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
-RDS	52	12	56000	0.230769	35	12	0.342857	0.125683	0.351912	8160
ID-	61	0	56000	0	42	1	0.0238095	0.11294	0.324896	1333.33
-MES	61	26	55400	0.42623	47	13	0.276596	0.945763	1	-13915.9
-OED	36	1	55400	0.0277778	35	2	0.0571429	0.269298	0.531843	1679.68
BES-	35	1	55200	0.0285714	34	1	0.0294118	0.491702	0.778322	47.8992
CIT-	34	3	54600	0.0882353	33	2	0.0606061	0.666493	0.916792	-1624.6
TON-	34	0	54400	0	36	2	0.0555556	0.0815934	0.258903	3022.22
GU-	51	1	54400	0.0196078	37	0	0	0.804178	1	-1082.35
ARI-	41	5	54000	0.121951	34	4	0.117647	0.522768	0.802197	-264.275
-ULA	36	0	53200	0	35	0	0		1	0
HU-	52	0	53200	0	40	2	0.05	0.0515223	0.195632	2660
-DOS	36	0	53200	0	30	2	0.0666667	0.0578347	0.207022	3546.67
WH-	69	14	53000	0.202899	33	10	0.30303	0.132356	0.360318	6668.77
RAS-	42	8	52800	0.190476	32	9	0.28125	0.178882	0.422082	5882.14
SM-	85	34	52600	0.4	74	18	0.243243	0.982207	1	-13794.6
-ORT	53	16	52600	0.301887	36	7	0.194444	0.872101	1	-8058.18
-UES	35	0	52600	0	34	1	0.0294118	0.153383	0.383457	1547.06
BU-	56	5	52400	0.0892857	55	4	0.0727273	0.625344	0.885319	-950.455
-OD	59	0	52000	0	60	3	0.05	0.0409625	0.173197	2600
MAI-	45	10	51800	0.222222	33	8	0.242424	0.41714	0.723962	1353.54
MAT-	51	16	51800	0.313725	34	5	0.147059	0.959538	1	-12566.7
-OLS	39	4	51800	0.102564	42	4	0.0952381	0.543963	0.82379	-420.513
GI-	66	11	51600	0.166667	47	2	0.0425532	0.979226	1	-7570.92
REM-	41	7	51600	0.170732	30	7	0.233333	0.25627	0.523931	3918.86
VA-	58	6	51600	0.103448	45	4	0.0888889	0.597754	0.8644	-821.149
-AND	37	1	50800	0.027027	32	3	0.09375	0.118456	0.336159	3482.94
SCA-	53	22	50600	0.415094	32	12	0.375	0.64266	0.897729	-3343.87
VE-	43	1	50200	0.0232558	34	2	0.0588235	0.211584	0.468316	1813.95
GO-	79	20	50200	0.253165	67	18	0.268657	0.415825	0.723673	1034.88
-SS	57	12	49400	0.210526	59	9	0.152542	0.791268	1	-3490.63
-EH	62	1	49400	0.016129	50	1	0.02	0.438892	0.743285	194.323
-OP	48	2	49400	0.0416667	34	0	0	0.885903	1	-2125
-HEN	36	2	49200	0.0555556	34	4	0.117647	0.176838	0.418826	3228.76
WAR-	36	7	49000	0.194444	34	11	0.323529	0.10841	0.316195	7745.1
-HY	57	4	49000	0.0701754	43	0	0	0.96188	1	-3663.16
-EI	51	0	48600	0	56	1	0.0178571	0.168829	0.405943	867.857
-ALE	42	8	48400	0.190476	37	11	0.297297	0.133819	0.361827	6366.54
LEN-	33	1	48400	0.030303	34	2	0.0588235	0.286262	0.554969	1420.32
ANT-	44	12	48400	0.272727	34	2	0.0588235	0.992678	1	-14032.1
TET-	34	4	47600	0.117647	32	4	0.125	0.463559	0.761809	391.176
-SAL	34	0	47600	0	33	1	0.030303	0.153225	0.383457	1442.42
-HA	60	3	47400	0.05	50	1	0.02	0.798687	1	-1494
SK-	59	12	47200	0.20339	36	6	0.166667	0.671152	0.919186	-2269.49
-UT	74	16	47000	0.216216	61	16	0.262295	0.265477	0.527604	2783.16
-BS	74	18	46600	0.243243	59	10	0.169492	0.850014	1	-4498.85
MEA-	46	18	46400	0.391304	30	10	0.333333	0.695711	0.940416	-4313.04
MAS-	36	6	46400	0.166667	32	8	0.25	0.198141	0.450646	4733.33
-IM	49	0	46200	0	31	2	0.0645161	0.0358788	0.155887	2980.65
-DON	33	0	46200	0	33	1	0.030303	0.156808	0.387408	1400
LIT-	44	12	45600	0.272727	42	8	0.190476	0.816609	1	-5165.37
WE-	58	12	45600	0.206897	42	11	0.261905	0.259417	0.524504	3267.49
