word	len	present	found	opp	beliefRaw	beliefWeighted
SHALOT	6	11	0	6.56797	0.0332973	0.0441707
SHALT	5	26	1	19.5368	0.0570166	0.0700148
SHALY	5	11	0	8.72995	0.0465028	0.0462026
SHAM	4	40	23	33.1174	0.547069	0.673205
SHAME	5	14	13	10.5643	0.813484	1
SHAN	4	69	19	52.046	0.274592	0.364355
SHAND	5	12	0	8.89412	0.0433538	0.0454721
SHANS	5	19	4	13.7497	0.213171	0.293457
SHAPE	5	15	7	11.4399	0.430007	0.577904
SHAPER	6	10	5	6.04579	0.445408	0.747533
SHAPS	5	10	4	8.22277	0.363436	0.460448
SHARD	5	22	7	16.3782	0.308476	0.418185
SHARE	5	69	42	50.1086	0.594143	0.823129
SHARED	6	30	12	18.5557	0.386173	0.62787
SHARER	6	11	5	5.78645	0.4117	0.775702
SHARES	6	24	14	15.7904	0.550861	0.849132
SHARIA	6	11	0	7.15209	0.0332973	0.0410425
SHARN	5	25	0	18.5277	0.0230568	0.0235885
SHARON	6	12	0	4.44875	0.0309546	0.0610537
SHAT	4	105	31	80.144	0.29401	0.385766
SHAUL	5	11	0	8.77907	0.0465028	0.0459816
SHAW	4	21	12	15.1334	0.522749	0.737198
SHAY	4	28	13	21.9378	0.439401	0.570565
SHAYS	5	10	7	7.48961	0.598404	0.832136
SHE	3	280	165	214.27	0.585679	0.766528
SHEA	4	117	59	88.3305	0.496415	0.660279
SHEAL	5	31	15	23.4213	0.463172	0.621093
SHEALS	6	10	7	6.97954	0.609162	0.908765
SHEAR	5	67	40	49.6857	0.582508	0.790849
SHEARS	6	19	12	13.1073	0.586419	0.868723
SHEAS	5	31	2	23.703	0.0781882	0.09813
SHEATH	6	17	0	10.7111	0.0228992	0.0286709
SHED	4	89	5	65.8757	0.0647887	0.0845349
SHEDS	5	25	2	18.1928	0.095083	0.125602
SHEEL	5	14	6	10.2571	0.396014	0.550963
SHEEN	5	29	3	22.6123	0.114589	0.144061
SHEENS	6	14	1	11.1964	0.0888134	0.108892
SHEEP	5	11	4	8.40047	0.337038	0.452175
SHEER	5	40	14	31.1841	0.34232	0.442926
SHEERS	6	19	4	13.4703	0.2093	0.297851
SHEET	5	46	21	35.9294	0.443741	0.573826
SHEETS	6	19	13	14.1076	0.633559	0.877344
SHEITAN	7	11	0	1.43618	0.024286	0.142725
SHELL	5	10	8	7.43061	0.676727	0.94974
SHELTA	6	12	0	9.00096	0.0309546	0.0335269
SHEN	4	113	41	88.0997	0.35943	0.462552
SHEND	5	29	11	22.9207	0.366417	0.469967
SHENT	5	62	21	48.0657	0.334121	0.433295
SHEOL	5	22	1	16.8087	0.0662248	0.0804535
SHERD	5	41	1	30.8088	0.0374759	0.0455802
SHERDS	6	11	0	7.79534	0.0332973	0.0380731
SHERE	5	54	20	40.7204	0.363591	0.485004
SHERIA	6	31	0	18.157	0.0132468	0.0175825
SHERO	5	73	1	53.3708	0.0216482	0.0268349
SHES	4	88	7	67.0075	0.0872552	0.112065
SHET	4	168	44	125.875	0.261884	0.349516
SHETS	5	61	23	46.67	0.370724	0.48738
SHEW	4	25	11	19.163	0.415814	0.551021
SHH	3	50	1	38.6959	0.0408843	0.0460898
SHIAI	5	13	0	9.57419	0.0406043	0.0426771
SHIED	5	34	2	25.0532	0.0718086	0.0931384
SHIEL	5	26	0	19.9706	0.0222554	0.0220024
SHIER	5	60	2	45.9211	0.0420636	0.0521437
SHIERS	6	18	0	14.5002	0.0217663	0.0217051
SHIES	5	33	2	26.5492	0.0738162	0.0881691
SHIEST	6	19	0	14.9517	0.0207402	0.0210945
SHIM	4	32	3	25.1544	0.111939	0.137333
SHIN	4	107	57	83.6744	0.523142	0.672794
SHINE	5	61	39	44.7914	0.621635	0.852876
SHINED	6	22	12	13.4803	0.513763	0.846494
SHINER	6	25	15	17.1043	0.567366	0.842776
SHINES	6	19	11	13.2067	0.539279	0.792766
SHINS	5	32	10	23.1263	0.306038	0.425418
SHINY	5	12	1	8.16803	0.111069	0.152433
SHIP	4	29	6	22.4067	0.213316	0.274787
SHIR	4	87	39	67.8764	0.44023	0.567553
SHIRE	5	64	32	48.0316	0.488863	0.655719
SHIRED	6	22	11	14.8472	0.472464	0.711194
