word	rank	track	len	pts	hook	hookClass	hookRank	hookOwned	myRate	fieldRate	topQRate	nTopQ	achievable	rateGap	presPerGame	nCur	expectedGain	expectedGainShrunk	belief	status	findability	findabilityScore	freeShare	pathCount	vowelInitial	pAppear_4x4_casual	pAppear_4x4_goodCasual	pAppear_4x4_spam	pAppear_5x5_casual	pAppear_5x5_goodCasual	pAppear_5x5_spam
NERDS	841	alpha	5	800	RDS	additive	218	12	0.04	0.046512	0.10309	97	0.10309	0.063093	0.034904	100	1.7618	1.8184	0.059587	unknown	findable	0.37119	0.04	1.3	False	0.018142	0.025036	0.04008	0.029917	0.045134	0.059522
STEARIN	842	par	7	1800	ARIN	additive	224	41	0.16667	0.15607	0.225	40	0.225	0.058333	0.016754	48	1.7592	1.6733	0.35088	learning	findable	0.98186	0.9375	1.5833	False	0.006091	0.011154	0.042205	0.009005	0.020304	0.039375
FONS	843	par	4	400	FON	additive	472	1	0.20312	0.26846	0.4	45	0.4	0.19688	0.022339	64	1.7592	1.6076	0.267	unknown	findable	0.40002	0.65625	1.2188	False	0.01247	0.011499	0.008525	0.030585	0.03033	0.0288
PROLE	844	par	5	800	ROL	additive	281	13	0	0.1747	0.23333	30	0.23333	0.23333	0.0094241	27	1.7592	1.7245	0.027307	unknown	findable	0.6246	0.51852	1.3704	False	0.006101	0.007148	0.008825	0.012854	0.016747	0.019986
STAINS	845	par	6	1400	AINS	additive	307	25	0.53571	0.50263	0.6	45	0.6	0.064286	0.019546	56	1.7592	1.2176	0.87278	known	findable	0.64331	0.83929	1.1607	False	0.009437	0.014416	0.03763	0.012966	0.023175	0.037218
GATER	846	par	5	800	ATER	additive	43	98	0.62366	0.59608	0.69136	81	0.69136	0.067702	0.032461	93	1.7581	1.3264	0.82832	known	findable	0.82468	0.80645	1.3656	False	0.01639	0.02279	0.045145	0.02525	0.040752	0.059633
MONTE	847	par	5	800	ONT	additive	296	8	0.17949	0.24609	0.34091	44	0.34091	0.16142	0.013613	39	1.7579	1.6548	0.25398	unknown	findable	0.65775	0.58974	1.359	False	0.012111	0.013381	0.017045	0.023014	0.029698	0.037208
LASTS	848	par	5	800	LAS	additive	271	54	0.42857	0.45952	0.5283	53	0.5283	0.09973	0.02199	63	1.7544	1.4545	0.58156	learning	findable	0.72811	0.74603	1.3175	False	0.012847	0.017485	0.03141	0.017671	0.026106	0.035723
RASSE	849	par	5	800	ASSE	additive	322	31	0.15556	0.17715	0.22535	71	0.22535	0.069797	0.031414	90	1.754	1.7101	0.21445	unknown	findable	0.87778	0.73333	1.6222	False	0.022661	0.030842	0.045735	0.023867	0.033037	0.039682
ERNED	850	alpha	5	800	RNE	additive	121	44	0.010989	0.021277	0.08	75	0.08	0.069011	0.031763	91	1.7536	1.8402	0.024643	unknown	hard to see	0.29929	0.15385	1.1978	True	0.020872	0.028235	0.050455	0.02416	0.038411	0.054824
ETNAS	851	alpha	5	800	NAS	additive	168	18	0	0.004886	0.036496	137	0.036496	0.036496	0.060035	172	1.7528	1.8845	0.0049133	unknown	findable	0.57678	0.18023	1.5291	True	0.043403	0.060959	0.11277	0.050121	0.076461	0.10696
TRENDS	852	par	6	1400	ENDS	additive	44	4	0.23913	0.24409	0.31707	41	0.31707	0.077943	0.016056	46	1.752	1.5906	0.3422	unknown	findable	0.7815	0.71739	1.3913	False	0.006623	0.010017	0.02178	0.012217	0.02054	0.030107
LIPE	853	par	4	400	IPE	additive	99	11	0.11594	0.26293	0.2973	74	0.2973	0.18136	0.024084	69	1.7471	1.694	0.17092	unknown	findable	0.46403	0.36232	1.2899	False	0.018044	0.019426	0.02218	0.031136	0.036621	0.04144
NOISE	854	par	5	800	OISE	additive	430	0	0.084416	0.10251	0.125	112	0.125	0.040584	0.053752	154	1.7452	1.7988	0.1192	unknown	findable	0.34737	0	1.513	False	0.034849	0.043471	0.058085	0.050019	0.070498	0.091302
TOILER	855	par	6	1400	LER	additive	124	151	0.48837	0.44915	0.57143	35	0.57143	0.083056	0.015009	43	1.7452	1.2532	0.65109	known	findable	0.58833	0.5814	1.3023	False	0.00743	0.010077	0.01668	0.013727	0.02235	0.03149
LADE	856	par	4	400	DEA	cellmate	184	30	0.47489	0.45556	0.53191	141	0.53191	0.057029	0.07644	219	1.7437	1.4603	0.64448	learning	findable	0.66026	0.57991	1.3699	False	0.045252	0.053969	0.07019	0.069081	0.09081	0.1102
REELS	857	par	5	800	EELS	additive	149	3	0.39189	0.38492	0.47619	63	0.47619	0.084299	0.025829	74	1.7419	1.4876	0.5093	learning	findable	0.85767	0.71622	1.5676	False	0.01751	0.024315	0.0386	0.018282	0.027198	0.033768
ANTIAR	858	alpha	6	1400	NTI	additive	139	19	0	0.021583	0.09375	32	0.09375	0.09375	0.013264	38	1.7408	1.8399	0.022597	unknown	findable	0.34087	0.39474	1.1316	True	0.007467	0.010202	0.020775	0.011584	0.018862	0.028735
SPIN	859	par	4	400	PIN	additive	188	55	0.31429	0.41993	0.43299	97	0.43299	0.1187	0.036649	105	1.7402	1.601	0.4219	learning	findable	0.71813	0.75238	1.3048	False	0.021691	0.025016	0.03199	0.038537	0.047787	0.056808
HERNS	860	par	5	800	RNS	additive	182	17	0.1375	0.16309	0.21538	65	0.21538	0.077885	0.027923	80	1.7398	1.7062	0.18781	unknown	findable	0.44165	0.35	1.275	False	0.017819	0.022358	0.029215	0.031278	0.042057	0.050149
AREA	861	alpha	4	400	REA	additive	888	138	0.015924	0.018718	0.055556	252	0.055556	0.039632	0.1096	314	1.7374	1.8253	0.025233	unknown	findable	0.45542	0.43631	1.258	True	0.082486	0.10912	0.18062	0.080582	0.12025	0.16098
ROSIN	862	par	5	800	ROS	additive	253	32	0.17323	0.14203	0.22222	90	0.22222	0.048994	0.044328	127	1.7374	1.6914	0.26694	unknown	findable	0.75671	0.6063	1.4961	False	0.023737	0.030761	0.04716	0.04105	0.061168	0.080932
GORES	863	par	5	800	ORES	additive	476	31	0.60759	0.54785	0.68627	51	0.68627	0.07868	0.027574	79	1.7356	1.1697	0.82691	known	findable	0.93582	0.89873	1.4557	False	0.01336	0.018167	0.02736	0.022218	0.034999	0.047559
ENDERS	864	par	6	1400	NDE	additive	195	61	0.57447	0.47872	0.65	40	0.65	0.075532	0.016405	47	1.7347	1.1664	0.77621	known	findable	0.52966	0.65957	1.1915	True	0.007561	0.011911	0.024905	0.0096	0.017502	0.026627
HEATH	865	par	5	800	HEAT	additive	447	6	0.078947	0.132	0.24242	33	0.24242	0.16348	0.013264	38	1.7346	1.6826	0.11555	unknown	findable	0.56728	0.73684	1.1579	False	0.013163	0.013735	0.014305	0.019962	0.023184	0.025432
SONDER	866	par	6	1400	NDE	additive	195	61	0.39216	0.352	0.46154	39	0.46154	0.069382	0.017801	51	1.7291	1.3488	0.54741	learning	findable	0.66269	0.66667	1.3137	False	0.007086	0.010363	0.017	0.012531	0.021002	0.028927
ORANT	867	alpha	5	800	RANT	additive	362	5	0	0.014589	0.049505	101	0.049505	0.049505	0.04363	125	1.7279	1.8449	0.0071344	unknown	findable	0.81696	0.792	1.368	True	0.026462	0.034394	0.05823	0.04441	0.066898	0.09127
STEARED	868	par	7	1800	TEA	additive	396	93	0.53333	0.47727	0.625	32	0.625	0.091667	0.010471	30	1.7277	1.2004	0.93251	known	findable	0.68489	1	1.1667	False	0.004048	0.008321	0.03735	0.004726	0.012045	0.025632
CORN	869	par	4	400	COR	additive	327	26	0.40678	0.43366	0.51163	86	0.51163	0.10485	0.041187	118	1.7273	1.4957	0.53778	learning	findable	0.64608	0.72034	1.2627	False	0.023785	0.025557	0.030415	0.049581	0.059778	0.069074
STEEN	870	par	5	800	STEE	additive	78	4	0.29032	0.32536	0.34021	97	0.34021	0.049884	0.043281	124	1.7272	1.5744	0.39401	learning	findable	0.79349	0.66129	1.4919	False	0.031229	0.043641	0.07614	0.027089	0.041043	0.054049
PORT	871	par	4	400	POR	additive	361	21	0.42453	0.47143	0.54118	85	0.54118	0.11665	0.036998	106	1.7263	1.4967	0.56976	learning	hard to see	0.2955	0.12264	1.2075	False	0.024955	0.029333	0.042655	0.046814	0.05886	0.072965
LEEAR	872	alpha	5	800	LEEA	additive	325	4	0.014925	0.049327	0.10714	56	0.10714	0.092217	0.023386	67	1.7253	1.7863	0.031787	unknown	findable	0.80921	0.77612	1.3731	False	0.01686	0.021811	0.035045	0.017604	0.024245	0.029085
RAILES	873	par	6	1400	ILES	additive	847	20	0.59322	0.53155	0.65306	49	0.65306	0.059841	0.020593	59	1.7253	1.1334	0.86504	known	findable	0.90263	0.81356	1.4746	False	0.01062	0.017173	0.042545	0.01571	0.030051	0.048167
DITES	874	par	5	800	ITES	additive	527	25	0.53103	0.45648	0.57364	129	0.57364	0.042609	0.050611	145	1.7252	1.3954	0.68856	known	findable	0.84365	0.73793	1.469	False	0.029378	0.040195	0.07361	0.041432	0.066489	0.096681
