word	len	present	found	opportunity	pts	lc	beliefRaw	beliefWeighted	present_s7to10	found_s7to10	beliefWeighted_s7to10	present_train	found_train	beliefWeighted_train	present_test	found_test	beliefWeighted_test	present_q1	found_q1	beliefWeighted_q1	present_q4	found_q4	beliefWeighted_q4
HOW	3	138	62	104.82	100	3	0.44604	0.5889	41	15	0.48961	33	13	0.51698	8	2	0.37577	18	8	0.61826	42	15	0.47493
HOWBE	5	2	0	1.5558	800	5	0.13249	0.15113										1	0	0.22083			
HOWDAH	6	2	0	1.2217	1400	6	0.094188	0.13172															
HOWDAHS	7	1	0	0	1800	7	0.079392	0.27371															
HOWDIE	6	4	0	2.1058	1400	6	0.063916	0.094857	1	0	0.24665				1	0	0.31566	1	0	0.18545	1	0	0.24532
HOWDIED	7	1	0	0.38324	1800	7	0.079392	0.19722															
HOWDIES	7	2	0	0.50895	1800	7	0.059418	0.18066										1	0	0.2861			
HOWDY	5	2	0	1.4084	800	5	0.13249	0.15913															
HOWE	4	54	15	40.587	400	4	0.27662	0.36967	20	2	0.16974	16	2	0.19952	4	0	0.17747	6	2	0.44513	20	2	0.16979
HOWES	5	29	3	23.015	800	5	0.11436	0.14116	12	1	0.14156	10	1	0.16546	2	0	0.18829	4	1	0.32147	12	1	0.14143
HOWEVER	7	1	0	1	1800	7	0.079392	0.13603															
HOWF	4	8	0	5.9659	400	4	0.084973	0.087579										1	0	0.28838			
HOWFF	5	1	0	0.70231	800	5	0.16708	0.21326															
HOWFFING	8	1	0	0.20257	2200	7	0.079392	0.22714															
HOWFFS	6	1	0	0.63281	1400	6	0.12341	0.17771															
HOWFING	7	1	0	0.20257	1800	7	0.079392	0.22714															
HOWFS	5	3	0	2.3339	800	5	0.10977	0.11941										1	0	0.23314			
HOWK	4	4	0	2.6199	400	4	0.12814	0.1533	1	0	0.28075	1	0	0.28224							1	0	0.28068
HOWKED	6	1	0	0.7451	1400	6	0.12341	0.16662															
HOWKER	6	3	0	2.3456	1400	6	0.076154	0.088166															
HOWKERS	7	1	0	1	1800	7	0.079392	0.13603															
HOWKS	5	1	0	0.65145	800	5	0.16708	0.21861	1	0	0.22085	1	0	0.22726							1	0	0.22019
HOWL	4	28	7	20.225	400	4	0.25127	0.34824	8	2	0.35195	5	2	0.47791	3	0	0.18992	1	0	0.39837	8	2	0.35184
HOWLED	6	7	2	4.742	1400	6	0.25998	0.3968	3	0	0.10701	1	0	0.24246	2	0	0.1538				3	0	0.10625
HOWLER	6	4	0	3.0749	1400	6	0.063916	0.072592	1	0	0.17501				1	0	0.222				1	0	0.17391
HOWLET	6	6	0	4.7529	1400	6	0.04837	0.051613	2	0	0.12204				2	0	0.1538				2	0	0.12119
HOWLETS	7	5	0	0.36831	1800	7	0.033861	0.19939	2	0	0.26061				2	0	0.43929				2	0	0.25652
HOWLS	5	11	4	8.3932	800	5	0.33548	0.45487	3	1	0.38631	2	1	0.47282	1	0	0.2512	1	0	0.24139	3	1	0.38586
HOWRE	5	30	0	22.067	800	5	0.019496	0.018888	12	0	0.047563	9	0	0.062998	3	0	0.14855	4	0	0.095318	12	0	0.04745
HOWRES	6	16	0	12.158	1400	6	0.021826	0.022683	5	0	0.066274	3	0	0.11249	2	0	0.14704	3	0	0.10152	5	0	0.065767
HOWS	4	61	32	46.524	400	4	0.50882	0.67581	18	5	0.39544	13	4	0.41694	5	1	0.3386	8	3	0.53852	19	5	0.37482
HOWSO	5	11	0	8.4172	800	5	0.046277	0.045221	3	0	0.13097	2	0	0.16901	1	0	0.24494	3	0	0.13008	3	0	0.13062
HOX	3	24	3	17.945	100	3	0.14966	0.19119	9	1	0.21414	5	0	0.15889	4	1	0.35758	4	1	0.34948	9	1	0.21426
HOXED	5	1	0	0.79198	800	5	0.16708	0.20443	1	0	0.20749	1	0	0.21362							1	0	0.20688
HOXES	5	3	0	2.5347	800	5	0.10977	0.11328										1	0	0.20128			
HOY	3	168	44	131.5	100	3	0.26306	0.33593	59	14	0.31243	40	8	0.27174	19	6	0.40437	18	3	0.2414	62	15	0.3152
HOYA	4	48	4	37.933	400	4	0.09656	0.11776	17	0	0.049449	10	0	0.078305	7	0	0.10698	1	0	0.27713	17	0	0.049575
HOYAS	5	22	1	17.662	800	5	0.066049	0.07579	8	0	0.065617	4	0	0.11581	4	0	0.12148				8	0	0.065458
HOYDEN	6	7	0	4.3893	1400	6	0.043126	0.055061	2	0	0.1748	1	0	0.24638	1	0	0.27451				2	0	0.1737
HOYDENISH	9	1	0	0.25321	2600	7	0.079392	0.21788															
HOYDENS	7	4	0	1.6399	1800	7	0.039528	0.10291	1	0	0.25692	1	0	0.26603							1	0	0.2529
HOYED	5	18	2	12.644	800	5	0.12674	0.17426	8	2	0.34802	4	0	0.12037	4	2	0.5648	3	0	0.12618	8	2	0.34779
HOYING	6	4	1	1.7619	1400	6	0.22461	0.46163	1	0	0.22391	1	0	0.24003				1	1	1	1	0	0.22264
HOYLE	5	26	0	19.38	800	5	0.0222	0.021334	12	0	0.045199	7	0	0.06908	5	0	0.11181				12	0	0.045093
HOYLES	6	11	0	5.464	1400	6	0.03008	0.045982	7	0	0.091447	5	0	0.13279	2	0	0.21321				7	0	0.090777
HOYS	4	59	18	45.763	400	4	0.30234	0.39249	20	6	0.38939	14	5	0.46355	6	1	0.25372	5	1	0.32421	22	7	0.40104
HUB	3	56	6	44.568	100	3	0.11959	0.14608	15	1	0.13588	11	1	0.17608	4	0	0.17464	3	1	0.42654	17	2	0.18437
HUBBY	5	2	1	1.1999	800	5	0.33949	0.56056										1	1	0.7964			
HUBRIS	6	2	0	0.50633	1400	6	0.094188	0.19212															
HUBRISES	8	1	0	0.18658	2200	7	0.079392	0.23024															
HUBS	4	21	2	16.027	400	4	0.12097	0.15021	6	1	0.24497	4	1	0.32114	2	0	0.20887	1	0	0.26951	7	1	0.21815
HUCK	4	12	9	9.9229	400	4	0.63055	0.82331	6	5	0.86685	4	3	0.76284	2	2	0.71405				6	5	0.866
HUCKED	6	1	0	1	1400	6	0.12341	0.14594															
HUCKERY	7	1	0	1	1800	7	0.079392	0.13603															
HUCKING	7	2	1	2	1800	7	0.31101	0.42518	1	1	0.6969	1	1	0.6814							1	1	0.69355
HUCKLE	6	2	0	0.82262	1400	6	0.094188	0.15973	1	0	0.23256	1	0	0.24883							1	0	0.23127
HUCKLES	7	2	0	1.528	1800	7	0.059418	0.10749	1	0	0.23177	1	0	0.24168							1	0	0.22818
HUCKLING	8	2	0	2	2200	7	0.059418	0.090507	1	0	0.17463	1	0	0.18505							1	0	0.17201
HUCKS	5	6	4	5.31	800	5	0.52543	0.6647	4	3	0.70437	3	2	0.61032	1	1	0.6495				4	3	0.70391
HUCKSTER	8	1	0	0	2200	7	0.079392	0.27371	1	0	0.36554	1	0	0.36742							1	0	0.35951
HUCKSTERY	9	1	0	0	2600	7	0.079392	0.27371	1	0	0.36554	1	0	0.36742							1	0	0.35951
HUDDEN	6	5	0	3.2783	1400	6	0.055067	0.069183	2	0	0.16322	2	0	0.17734							2	0	0.16217
HUDDLE	6	2	2	1.5378	1400	6	0.5678	0.88745															
HUDDLER	7	1	1	1	1800	7	0.41556	0.63904															
HUDDLERS	8	1	1	1	2200	7	0.41556	0.63904															
HUDDLES	7	2	2	2	1800	7	0.5626	0.75984															
HUDNA	5	13	0	7.7779	800	5	0.040431	0.04838	7	0	0.083867	6	0	0.095421	1	0	0.27071	2	0	0.18903	7	0	0.083658
HUDNAS	6	6	0	3.7523	1400	6	0.04837	0.06236	3	0	0.11122	2	0	0.14793	1	0	0.2615	1	0	0.26595	3	0	0.11043
HUDUD	5	2	0	1.3228	800	5	0.13249	0.16419	1	0	0.21319	1	0	0.21944							1	0	0.21256
HUE	3	261	57	200.48	100	3	0.21972	0.28564	71	14	0.25644	59	11	0.24579	12	3	0.33091	48	10	0.29661	73	15	0.2656
HUED	4	92	9	70.305	400	4	0.1044	0.13423	22	2	0.14445	19	1	0.10498	3	1	0.40929	11	0	0.069394	23	2	0.13896
HUELESS	7	1	0	0	1800	7	0.079392	0.27371															
HUER	4	148	13	109.92	400	4	0.092241	0.12244	40	1	0.052828	33	1	0.064303	7	0	0.10329	37	4	0.16568	42	1	0.050216
HUERS	5	71	6	52.126	800	5	0.089936	0.12043	19	1	0.095711	16	1	0.11356	3	0	0.14538	18	2	0.17008	19	1	0.095632
HUES	4	150	34	113.31	400	4	0.22752	0.30119	48	10	0.27318	39	8	0.27015	9	2	0.30766	26	5	0.29202	48	10	0.27317
HUFF	4	5	5	3.7252	400	4	0.67719	1															
HUFFED	6	2	2	1.3399	1400	6	0.5678	0.96083															
HUFFER	6	1	1	0.78431	1400	6	0.4337	0.70717															
HUFFERS	7	1	1	1	1800	7	0.41556	0.63904															
HUFFS	5	4	4	3.5912	800	5	0.67927	0.8948															
HUG	3	83	27	63.935	100	3	0.32503	0.42267	25	9	0.45653	17	6	0.45706	8	3	0.44678	11	5	0.58615	28	10	0.44494
HUGE	4	38	2	30.046	400	4	0.071857	0.084162	11	0	0.070646	7	0	0.10243	4	0	0.15172	4	1	0.39391	12	0	0.064707
HUGENESS	8	1	0	1	2200	7	0.079392	0.13603										1	0	0.15067			
HUGER	5	16	1	11.268	800	5	0.087094	0.11413	3	0	0.14218	1	0	0.22333	2	0	0.20593	2	1	0.6258	3	0	0.1418
HUGEST	6	5	0	3.3303	1400	6	0.055067	0.068362	1	0	0.20067	1	0	0.21622				2	0	0.12976	1	0	0.19947
HUGGED	6	2	2	1.3736	1400	6	0.5678	0.9475	1	1	0.76404				1	1	0.83106				1	1	0.76427
HUGGER	6	4	3	2.7975	1400	6	0.54601	0.85682	3	2	0.73642	2	1	0.52789	1	1	0.83106				3	2	0.73651
HUGGERS	7	4	3	3.7525	1800	7	0.54164	0.68988	3	2	0.59794	2	1	0.457	1	1	0.78063				3	2	0.59637
HUGGIER	7	2	1	1.9893	1800	7	0.31101	0.42671	2	1	0.45949	2	1	0.457							2	1	0.4575
HUGGY	5	1	1	0.82613	800	5	0.42811	0.6558	1	1	0.62891	1	1	0.63157							1	1	0.628
HUGS	4	31	12	25.473	400	4	0.37303	0.46439	11	5	0.54044	10	5	0.57445	1	0	0.28506	6	3	0.57729	12	5	0.49381
HUGY	4	8	0	6.7866	400	4	0.084973	0.079245	4	0	0.13261	4	0	0.13485							5	0	0.11494
HUH	3	30	2	23.96	100	3	0.093008	0.10761	9	0	0.097247	5	0	0.14816	4	0	0.17678	3	1	0.46182	9	0	0.097467
HUHU	4	1	0	0.86054	400	4	0.20703	0.25322															
HUI	3	174	15	130.72	100	3	0.090793	0.11902	61	3	0.083231	38	3	0.12886	23	0	0.049825	21	1	0.10687	62	3	0.081968
HUIAS	5	32	0	21.28	800	5	0.018376	0.019544	11	0	0.054079	5	0	0.09456	6	0	0.10747	2	0	0.20084	11	0	0.053949
HUIC	4	23	0	19.421	400	4	0.037543	0.032151	2	0	0.22145	2	0	0.22364				3	0	0.16269	2	0	0.22155
HUIPIL	6	2	0	0.74408	1400	6	0.094188	0.16671															
HUIPILES	8	2	0	0.72815	2200	7	0.059418	0.15758															
HUIPILS	7	1	0	0	1800	7	0.079392	0.27371															
HUIS	4	78	2	57.9	400	4	0.036751	0.044921	30	1	0.074363	18	1	0.11109	12	0	0.082254	8	1	0.22255	31	1	0.071702
HUISACHE	8	2	0	0.67488	2200	7	0.059418	0.16263															
HUITAIN	7	5	0	1.8404	1800	7	0.033861	0.095615	3	0	0.22888	2	0	0.30283	1	0	0.451				3	0	0.22534
HUITAINS	8	2	0	1.1175	2200	7	0.059418	0.12844	1	0	0.26868				1	0	0.451				1	0	0.26445
HULA	4	81	0	63.787	400	4	0.011887	0.010416	31	0	0.028421	18	0	0.047269	13	0	0.065691	13	0	0.063978	32	0	0.027459
HULAS	5	40	0	29.469	800	5	0.014944	0.014355	20	0	0.02983	11	0	0.04985	9	0	0.072449	5	0	0.10754	21	0	0.028324
HULE	4	67	9	52.364	400	4	0.14122	0.17865	21	2	0.15082	14	2	0.20809	7	0	0.11295	11	1	0.19086	22	3	0.19502
HULES	5	32	5	25.301	800	5	0.16193	0.20404	12	2	0.2285	10	2	0.26503	2	0	0.18664	4	0	0.10599	12	2	0.22836
HULK	4	6	1	4.7796	400	4	0.20347	0.25437	2	0	0.21728	2	0	0.2195							3	1	0.39309
HULKING	7	2	0	2	1800	7	0.059418	0.090507	1	0	0.17463	1	0	0.18505							1	0	0.17201
HULKS	5	3	1	2.451	800	5	0.28127	0.3772	1	0	0.22293	1	0	0.22938							2	1	0.49643
HULKY	5	1	1	0.81992	800	5	0.42811	0.65765													1	1	0.62966
HULL	4	18	7	14.971	400	4	0.36615	0.4571	7	2	0.37864	5	2	0.46681	2	0	0.22652	2	1	0.49106	8	3	0.45365
HULLED	6	3	0	2.172	1400	6	0.076154	0.092911	2	0	0.13203	2	0	0.14445							2	0	0.13113
HULLER	6	1	0	0.68644	1400	6	0.12341	0.17224															
HULLIEST	8	1	0	0.099401	2200	7	0.079392	0.24869															
HULLING	7	2	0	1.782	1800	7	0.059418	0.097632	2	0	0.12399				2	0	0.22505				2	0	0.12218
HULLO	5	7	0	5.1718	800	5	0.065107	0.067641	1	0	0.2186	1	0	0.22496				1	0	0.24526	1	0	0.21795
HULLOA	6	4	0	1.7519	1400	6	0.063916	0.10682	1	0	0.26092	1	0	0.27745				1	0	0.20062	1	0	0.25956
HULLOAS	7	1	0	0	1800	7	0.079392	0.27371	1	0	0.36554	1	0	0.36742							1	0	0.35951
HULLOED	7	1	0	0.95809	1800	7	0.079392	0.13896															
HULLOES	7	1	0	0	1800	7	0.079392	0.27371															
HULLOO	6	1	0	0.68644	1400	6	0.12341	0.17224															
HULLOOED	8	1	0	0.95809	2200	7	0.079392	0.13896															
HULLOS	6	1	0	0.19471	1400	6	0.12341	0.24008	1	0	0.26092	1	0	0.27745							1	0	0.25956
HULLS	5	8	5	6.082	800	5	0.52074	0.72999	4	2	0.58509	3	2	0.67783	1	0	0.26432				5	3	0.68743
HULLY	5	3	0	2.5223	800	5	0.10977	0.11364										1	0	0.21536			
HUM	3	115	41	88.348	100	3	0.3554	0.46352	35	10	0.37737	25	8	0.41124	10	2	0.31027	16	10	0.80701	37	11	0.38903
