word	len	present	found	opp	beliefRaw	beliefWeighted
AGMA	4	19	0	14.8799	0.0475717	0.0499541
AGMAS	5	11	0	7.24308	0.0514722	0.0627953
AGNATE	6	19	0	11.609	0.0270395	0.0375162
AGNATES	7	10	0	4.78644	0.0389586	0.0828795
AGNISE	6	47	0	26.2553	0.0120116	0.0178742
AGNISED	7	11	0	5.98307	0.036264	0.0698182
AGO	3	167	6	129.839	0.0421019	0.0523777
AGOG	4	16	0	11.9645	0.0544384	0.0598027
AGON	4	78	4	57.0933	0.061986	0.0815193
AGONE	5	34	2	20.854	0.0731522	0.113
AGONES	6	19	1	9.6982	0.0717223	0.131382
AGONIC	6	11	0	5.73781	0.0420824	0.067055
AGONIES	7	15	0	6.86806	0.0284054	0.0625302
AGONISE	7	14	0	7.34397	0.0300325	0.0592067
AGONIST	7	14	0	6.0235	0.0300325	0.0694484
AGONS	5	34	2	21.3204	0.0731522	0.110736
AGOOD	5	10	0	6.36211	0.0552445	0.0694438
AGORA	5	20	0	12.8627	0.0318801	0.038986
AGREE	5	32	2	22.3358	0.0772568	0.106108
AGREED	6	16	0	12.3457	0.0312252	0.0355512
AGREES	6	19	0	12.0969	0.0270395	0.0361913
AGRIAS	6	10	0	6.2918	0.0452275	0.0624178
AGRIN	5	39	1	22.9145	0.0411258	0.0634348
AGRINS	6	11	0	5.46333	0.0420824	0.0696176
AGRISE	6	19	0	10.9756	0.0270395	0.0393882
AGRO	4	80	0	59.5615	0.0133448	0.0141754
AGROS	5	26	0	16.7891	0.0254277	0.030821
AGS	3	210	5	165.846	0.0289738	0.0352291
AGUE	4	34	0	26.9784	0.0291727	0.029674
AGUED	5	13	0	8.58798	0.0452874	0.0547876
AGUES	5	16	0	11.3168	0.0383715	0.0435259
AGUNA	5	10	0	7.28579	0.0552445	0.0625051
AGUTI	5	10	0	6.81192	0.0552445	0.0658823
AHA	3	87	2	68.3239	0.0351641	0.0413844
AHEAD	5	26	0	18.4374	0.0254277	0.0283302
AHEAP	5	10	0	7.94348	0.0552445	0.0583536
AHED	4	130	0	100.903	0.00839435	0.00852557
AHEM	4	74	0	56.5546	0.0143611	0.0148933
AHI	3	288	2	226.415	0.0109648	0.0127972
AHING	5	38	1	23.1716	0.0421133	0.0627858
AHIS	4	124	2	94.8675	0.0243154	0.0295252
AHOLD	5	13	0	7.31508	0.0452874	0.0623077
AHORSE	6	46	0	27.2905	0.0122548	0.0172363
AHOY	4	23	0	17.967	0.0407228	0.0425364
AHS	3	370	7	294.523	0.0219276	0.026699
AIA	3	164	0	131.542	0.00715481	0.00693193
AIAS	4	114	0	86.4477	0.00952506	0.0099061
AID	3	437	221	337.47	0.503776	0.652892
AIDA	4	94	0	69.8349	0.0114535	0.0121711
AIDANT	6	12	0	7.89253	0.0393462	0.0520226
AIDAS	5	34	0	21.9825	0.020024	0.0241352
AIDE	4	270	132	200.73	0.484496	0.652824
AIDED	5	28	9	21.4136	0.308228	0.409795
AIDER	5	157	79	105.25	0.496461	0.742269
AIDERS	6	59	27	39.92	0.442532	0.660438
AIDES	5	141	73	101.147	0.509896	0.713618
AIDMEN	6	16	0	8.37718	0.0312252	0.0495253
AIDOS	5	70	0	49.0516	0.0102356	0.0113276
AIDS	4	183	99	139.973	0.533228	0.699492
AIERIES	7	13	0	5.62112	0.0318572	0.0733128
AIGAS	5	15	0	10.1272	0.0404295	0.04781
AIGHT	5	20	0	14.457	0.0318801	0.0351996
AIGLET	6	17	0	8.41293	0.029693	0.0493506
AIL	3	519	226	399.729	0.43436	0.564254
AILED	5	111	48	73.5775	0.42526	0.643107
AILERON	7	17	0	7.46691	0.0256285	0.0584048
AILETTE	7	10	0	5.03155	0.0389586	0.0798208
AILING	6	12	4	6.88398	0.299425	0.523076
AILS	4	209	87	153.629	0.412246	0.561736
AIM	3	279	95	216.379	0.339849	0.43838
AIMED	5	44	20	30.3012	0.435595	0.637877
AIMER	5	77	25	53.1039	0.319349	0.464523
AIMERS	6	34	10	23.4385	0.283712	0.417371
AIMS	4	98	37	72.235	0.370988	0.504735
AIN	3	754	309	587.931	0.409198	0.524967
AINE	4	436	90	317.063	0.206749	0.284115
AINEE	5	83	1	53.2622	0.0202412	0.028573
AINGAS	6	15	0	8.90681	0.032924	0.0470568
AINS	4	339	146	252.248	0.427977	0.575857
AIR	3	686	377	531.83	0.548061	0.707366
AIRCON	6	18	0	9.3908	0.0283042	0.0450068
AIRDATE	7	12	0	4.3078	0.0339181	0.0895828
AIRED	5	159	72	109.894	0.447317	0.648869
AIRER	5	91	28	60.797	0.303808	0.455382
AIRERS	6	43	17	27.8247	0.379585	0.592344
AIREST	6	138	37	83.8527	0.265986	0.438229
AIRGUN	6	10	0	6.81971	0.0452275	0.0585588
AIRIER	6	16	2	10.2698	0.134425	0.208529
AIRIEST	7	21	3	10.1965	0.144095	0.298999
AIRING	6	14	9	9.50223	0.552657	0.846611
AIRN	4	227	74	169.095	0.324145	0.435583
AIRNED	6	47	14	30.1901	0.2899	0.454417
AIRNS	5	84	26	59.731	0.305253	0.430831
AIRS	4	301	168	226.313	0.553108	0.737049
AIRT	4	335	75	249.286	0.224059	0.300999
AIRTED	6	52	9	33.996	0.173441	0.265995
AIRTH	5	72	0	48.5746	0.00996496	0.0114345
AIRTHS	6	24	0	12.063	0.0221016	0.0362805
AIRTS	5	161	38	109.743	0.235378	0.345365
AIRY	4	55	5	43.3444	0.10256	0.127457
AIS	3	734	49	565.899	0.0680183	0.0878494
AISLE	5	112	1	77.8451	0.0151654	0.0197713
AISLED	6	35	1	23.3503	0.0418224	0.0598347
AISLES	6	35	0	22.1771	0.0157671	0.0209246
AIT	3	741	262	578.387	0.353257	0.452675
AITCH	5	30	0	20.929	0.0224046	0.0252461
AITS	4	396	157	293.31	0.394556	0.533153
AIVER	5	38	0	26.9113	0.0181007	0.0200147
AIVERS	6	13	0	9.06493	0.0369441	0.0463668
AKA	3	17	1	12.1513	0.104514	0.132128
AKAS	4	12	1	8.3222	0.126995	0.169073
AKE	3	91	21	68.0035	0.233529	0.311268
AKED	4	37	3	26.7423	0.0988769	0.131382
AKEE	4	17	0	13.0439	0.0519394	0.0557344
AKEES	5	11	0	8.48309	0.0514722	0.055338
AKELA	5	10	0	6.35195	0.0552445	0.0695287
AKES	4	49	11	35.9829	0.22556	0.306252
AKIN	4	32	0	23.0297	0.0307589	0.0342064
AKITA	5	12	0	7.90613	0.0481822	0.0585745
ALA	3	194	60	152.853	0.308988	0.39233
ALAE	4	139	4	104.343	0.0356885	0.0455773
ALAMO	5	17	0	10.8543	0.0365128	0.045097
ALAN	4	106	10	80.0345	0.100479	0.131362
ALAND	5	36	0	25.3864	0.0190138	0.0211309
ALANDS	6	10	0	4.868	0.0452275	0.0759096
ALANE	5	69	2	45.7655	0.0379077	0.0540151
ALANG	5	15	0	9.48503	0.0404295	0.0504929
ALANIN	6	11	0	5.68575	0.0420824	0.0675265
ALANS	5	51	6	33.6393	0.123595	0.184781
ALANT	5	44	0	28.7426	0.0158212	0.0188209
ALANTS	6	21	0	9.65826	0.0248213	0.0439487
ALAP	4	48	0	35.1447	0.0214351	0.0232916
ALAPS	5	21	0	14.0033	0.0305865	0.0362001
ALAR	4	124	18	91.4894	0.148555	0.200232
ALARM	5	21	0	13.4114	0.0305865	0.0375943
ALARMS	6	10	0	5.26182	0.0452275	0.0716272
ALARY	5	10	0	6.60921	0.0552445	0.067441
ALAS	4	138	31	103.914	0.225036	0.298718
ALASTOR	7	11	0	1.88386	0.036264	0.151732
ALATE	5	83	22	56.5361	0.26261	0.38598
ALATED	6	28	7	18.6586	0.242357	0.368052
ALATES	6	52	11	30.7735	0.209555	0.353929
ALATION	7	14	3	7.28913	0.201871	0.396681
ALAY	4	24	0	18.8087	0.039308	0.0408813
ALB	3	183	4	137.627	0.0278101	0.0351871
ALBA	4	46	0	34.3362	0.0222793	0.0237983
ALBAS	5	23	0	15.2528	0.0282907	0.033572
ALBE	4	76	1	56.6825	0.0263844	0.0316665
ALBEE	5	14	0	10.3531	0.0427208	0.0469329
ALBEIT	6	12	0	5.66584	0.0393462	0.0677085
ALBERT	6	20	0	11.9975	0.0258829	0.0364537
ALBERTS	7	11	0	5.15725	0.036264	0.0783382
ALBITE	6	13	0	7.22559	0.0369441	0.0559015
ALBS	4	51	0	38.3853	0.0202824	0.0214599
ALCO	4	74	1	55.4941	0.0270541	0.0323118
ALCOS	5	29	0	20.1139	0.0230909	0.0261784
ALDER	5	107	24	75.1397	0.223723	0.318785
ALDERN	6	29	0	17.7817	0.0186888	0.0256409
ALDERS	6	39	6	25.9354	0.155855	0.235045
ALDOL	5	19	0	12.8217	0.033288	0.039094
ALDRIN	6	13	0	7.04617	0.0369441	0.0570458
ALE	3	747	207	564.809	0.277206	0.366552
ALEC	4	142	2	106.416	0.0213336	0.0264037
ALECS	5	59	0	40.4158	0.0120329	0.0136361
ALEE	4	156	2	114.694	0.019476	0.0245438
ALEF	4	77	0	58.4243	0.0138343	0.0144386
ALEFS	5	31	0	22.6245	0.0217579	0.0235049
ALERION	7	17	0	7.71266	0.0256285	0.0568652
ALERT	5	167	4	114.214	0.0278579	0.0394054
ALERTED	7	15	0	4.71821	0.0284054	0.0837731
ALERTER	7	18	0	8.97233	0.0244341	0.0500963
ALERTS	6	86	3	54.9728	0.040335	0.0617376
ALES	4	421	142	309.624	0.33616	0.457308
ALEVIN	6	11	0	6.17395	0.0420824	0.0633498
ALEW	4	75	0	56.1599	0.0141811	0.0149929
ALF	3	133	1	102.315	0.0160682	0.0184113
ALFA	4	27	0	20.8763	0.0355977	0.0373146
ALFAS	5	11	0	8.23279	0.0514722	0.0566971
ALFS	4	37	0	29.215	0.0270782	0.0276025
ALGA	4	39	2	29.6008	0.0715206	0.0889575
ALGAE	5	25	1	16.7696	0.0612258	0.0842484
ALGAS	5	16	2	11.3328	0.14018	0.193946
ALGESIA	7	10	0	4.79982	0.0389586	0.0827065
ALGID	5	11	0	7.27051	0.0514722	0.0626086
ALGIN	5	31	0	18.6247	0.0217579	0.0280724
ALGINS	6	15	0	7.85187	0.032924	0.0522436
ALIAS	5	73	0	45.6042	0.00983495	0.0121486
ALIASED	7	12	0	3.87796	0.0339181	0.0965994
ALIBI	5	14	0	9.91858	0.0427208	0.0486498
ALIEN	5	135	1	88.6589	0.0126496	0.0174119
ALIENED	7	10	0	3.83515	0.0389586	0.0973587
ALIENER	7	10	0	4.60798	0.0389586	0.0852582
ALIENOR	7	18	1	6.06793	0.0710364	0.199289
ALIENS	6	58	0	31.0015	0.00985895	0.0152814
ALIF	4	62	1	45.9115	0.0319154	0.0386652
ALIFS	5	21	1	15.0376	0.0711632	0.0928336
ALIGN	5	38	0	21.1408	0.0181007	0.0250146
ALIGNS	6	12	0	6.26993	0.0393462	0.0625886
ALIKE	5	10	0	7.1204	0.0552445	0.0636437
ALINE	5	160	73	103.122	0.450695	0.700202
ALINED	6	46	14	26.2615	0.295771	0.518218
ALINER	6	78	33	43.1206	0.412941	0.747108
ALINERS	7	33	17	16.7613	0.480669	0.954208
ALINES	6	89	47	50.7914	0.515319	0.904584
ALISONS	7	12	0	5.33451	0.0339181	0.0763386
ALIST	5	146	5	93.9312	0.0384497	0.0581691
ALIT	4	291	14	210.306	0.0511571	0.0698371
ALIVE	5	24	8	16.2016	0.316653	0.472342
ALKO	4	20	0	14.1719	0.0456522	0.0520353
ALL	3	185	70	132.167	0.376586	0.526908
ALLEE	5	34	0	22.4683	0.020024	0.0236552
ALLEES	6	20	0	13.5946	0.0258829	0.0326519
ALLEY	5	20	0	12.5371	0.0318801	0.0398616
ALLIED	6	27	15	19.369	0.513666	0.735018
ALLIES	6	37	19	23.377	0.485517	0.777017
ALLIS	5	43	1	27.8598	0.037599	0.0529145
ALLOD	5	23	0	16.0438	0.0282907	0.032097
ALLONS	6	10	0	4.52692	0.0452275	0.0800548
ALLOT	5	33	3	23.0542	0.102438	0.143039
ALLOTS	6	14	1	8.18234	0.092356	0.151496
ALLOY	5	12	0	7.58889	0.0481822	0.0605208
ALLS	4	74	16	55.9919	0.217449	0.287077
ALLY	4	33	7	24.7827	0.215211	0.285607
ALMA	4	46	0	34.8299	0.0222793	0.0234863
ALME	4	92	4	70.9519	0.0530196	0.0662059
ALMES	5	47	2	35.0774	0.0543748	0.0696031
ALMNER	6	14	0	9.33126	0.0348184	0.0452493
ALMS	4	47	5	37.475	0.118405	0.146021
ALNICO	6	15	0	7.21359	0.032924	0.0559766
ALOD	4	109	0	81.3885	0.00994362	0.0105012
ALODS	5	46	0	31.9125	0.0151838	0.0170595
ALOE	4	185	5	141.814	0.0323074	0.0406834
ALOED	5	52	0	36.3207	0.0135466	0.0150949
ALOES	5	99	3	72.8652	0.0365708	0.0478166
ALOFT	5	12	0	7.99805	0.0481822	0.0580338
ALOIN	5	66	0	42.6789	0.0108235	0.0129448
ALOINS	6	26	0	12.3753	0.0205971	0.0354765
