word	len	pts	n	kP	nO	kO	fieldRate	myRate	nCur	kCur	myRateCur	nStrong	strongRate	nTopQ	topQRate	dead	everAccepted	share_freeCur	share_dropTerminalCur	share_cellmateCur	share_noneCur	share_freeAll	share_dropTerminalAll	share_cellmateAll	share_noneAll	observedHost	hookStem	cellmateOf	qCur	gainPerGameCur	qAll	gainPerGameAll	reachClass	family
DEAIRS	6	1400	143	0	143	7	0.0244755	0	55	0	0	24	0.0833333	41	0.0487805	False	True	0.636364	0	0.145455	0.218182	0.608392	0	0.0979021	0.293706	AIRS	AIRS		0.474384	12.7496	0.454311	10.0679	free	AIRS
HAERES	6	1400	180	0	180	1	0.00277778	0	54	0	0	39	0.025641	40	0.025	False	True	0.648148	0	0.0740741	0.277778	0.572222	0	0.1	0.327778	RES	RES		0.483135	12.7487	0.428151	11.9431	free	RES
SHERO	5	800	309	1	309	1	0.00323625	0.00323625	115	0	0	67	0	79	0.0126582	False	True	0.530435	0	0.13913	0.330435	0.504854	0	0.12945	0.365696	SHE			0.396441	12.7304	0.377851	10.2507	free	SHE
ENTAIL	6	1400	178	15	178	18	0.0926966	0.0842697	59	6	0.101695	39	0.153846	48	0.1875	False	True	0.728814	0	0	0.271186	0.792135	0	0	0.207865	TAIL	TAIL		0.541701	12.6857	0.587488	13.8811	free	TAIL
SARNIE	6	1400	200	13	200	3	0.04	0.065	58	6	0.103448	43	0	51	0	False	True	0.741379	0	0.0172414	0.241379	0.705	0	0.03	0.265	SAR		RAINES	0.550732	12.6769	0.524385	14.2382	free	SAR
TORTEN	6	1400	142	2	142	4	0.0211268	0.0140845	43	0	0	19	0.0526316	35	0.0285714	False	True	0.813953	0	0	0.186047	0.760563	0	0.0211268	0.21831	TORTE	TOR		0.603264	12.6759	0.564591	12.1143	free	TOR
NITRO	5	800	411	7	411	26	0.040146	0.0170316	142	7	0.0492958	74	0.0810811	114	0.114035	False	True	0.492958	0	0.0140845	0.492958	0.413625	0	0.00729927	0.579075	NIT			0.36889	12.6722	0.311302	10.7102	free	NIT
RIDENT	6	1400	134	1	134	1	0.00746269	0.00746269	42	0	0	28	0	42	0	False	True	0.833333	0	0.0238095	0.142857	0.731343	0.00746269	0.0373134	0.223881	RIDE		TINDER	0.617201	12.6672	0.544844	11.1593	free	RIDE
RESIGN	6	1400	135	3	135	21	0.0888889	0.0222222	42	0	0	31	0.290323	37	0.27027	False	True	0.833333	0	0.0714286	0.0952381	0.777778	0	0.0518519	0.17037	RES	RES	SINGER	0.617048	12.664	0.57694	11.6052	free	RES
SARTOR	6	1400	113	0	113	1	0.00442478	0	37	0	0	23	0	27	0	False	True	0.945946	0	0	0.0540541	0.867257	0	0	0.132743	SAR	TOR		0.698706	12.6328	0.641807	11.2391	free	TOR
PETAR	5	800	282	0	282	6	0.0106383	0	82	0	0	57	0.0526316	73	0.0410959	False	True	0.743902	0	0.170732	0.0853659	0.765957	0	0.134752	0.0992908	PET	TAR	TAPER,PATER	0.551435	12.6262	0.567337	14.1677	free	TAR
DENET	5	800	277	6	277	13	0.034296	0.0216606	92	3	0.0326087	53	0.0566038	78	0.0512821	False	True	0.706522	0	0	0.293478	0.707581	0	0	0.292419	DEN			0.523823	12.619	0.524592	12.3367	free	DEN
ENATE	5	800	563	50	563	33	0.0737123	0.0888099	176	33	0.1875	96	0.0729167	125	0.08	False	True	0.590909	0.0113636	0.0340909	0.363636	0.515098	0.0230906	0.0337478	0.428064	NAT			0.443826	12.5971	0.392734	15.1525	free	NAT
