word	len	present	found	opp	pts	lc	beliefRaw	beliefWeighted	refN	refK	refRate	p	q	refForgone	foundStem	kind	reference
BASIL	5	34	0	22.5778	800	5	0.020024	0.0235496	10	2	0.2	0.00050706	0.0399192	5440	BAS	branch miss	topQuartile
ETAT	4	230	0	168.669	400	4	0.00481899	0.00515664	68	4	0.0588235	8.79719e-07	0.000293433	5411.76	ETA	branch miss	topQuartile
PANIC	5	20	0	13.6266	800	5	0.0318801	0.037075	6	2	0.333333	0.000300729	0.0259302	5333.33	PAN	branch miss	topQuartile
RIEM	4	146	0	109.443	400	4	0.00750361	0.00787704	33	3	0.0909091	9.0504e-07	0.000294138	5309.09		true gap	topQuartile
LIBER	5	33	0	20.8253	800	5	0.0205704	0.025361	5	1	0.2	0.000633825	0.0489862	5280	LIB	branch miss	topQuartile
STONY	5	23	0	17	800	5	0.0282907	0.0304781	7	2	0.285714	0.000435567	0.0353898	5257.14	TON	branch miss	topQuartile
GALAS	5	16	0	10.8572	800	5	0.0383715	0.0450866	5	2	0.4	0.000282111	0.0246604	5120	GALA	branch miss	topQuartile
UREA	4	198	0	151.067	400	4	0.00557945	0.00574645	49	3	0.0612245	3.6917e-06	0.000866525	4848.98	URE	branch miss	topQuartile
LYRE	4	48	0	36.6871	400	4	0.0214351	0.0223823	12	3	0.25	1.00679e-06	0.000303836	4800		true gap	topQuartile
KERN	4	40	0	29.3766	400	4	0.0252642	0.027464	11	3	0.272727	2.93692e-06	0.000715874	4363.64	ERN	branch miss	topQuartile
OINK	4	34	0	25.9405	400	4	0.0291727	0.0307448	10	3	0.3	5.4117e-06	0.00118264	4080	INK	branch miss	topQuartile
NEAP	4	108	0	79.0548	400	4	0.0100318	0.0108005	32	3	0.09375	2.41427e-05	0.0034001	4050		true gap	topQuartile
EYRE	4	56	0	43.9139	400	4	0.0186139	0.0189214	17	3	0.176471	1.89684e-05	0.00286219	3952.94		true gap	topQuartile
GIRL	4	49	0	36.3315	400	4	0.0210366	0.0225856	11	2	0.181818	5.36589e-05	0.00647739	3563.64		true gap	topQuartile
RISP	4	105	0	78.0842	400	4	0.0103059	0.0109301	24	2	0.0833333	0.000107696	0.0112814	3500		true gap	topQuartile
EGOS	4	87	0	65.5354	400	4	0.0123271	0.0129366	20	2	0.1	0.000104496	0.0110374	3480	GOS	branch miss	topQuartile
DUAR	4	69	0	53.0492	400	4	0.0153343	0.0158276	16	2	0.125	9.9668e-05	0.0106159	3450		true gap	topQuartile
OONS	4	114	0	91.0008	400	4	0.00952506	0.00942537	27	2	0.0740741	0.000154772	0.0152072	3377.78	OON	branch miss	topQuartile
