affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
-DS	2107	1141	8.768e+05	0.54153	1882	1029	0.54676	0.37028	0.85106	9590.7
-AR	1130	195	8.694e+05	0.17257	978	157	0.16053	0.76999	1	-12660
U-	1210	79	8.604e+05	0.065289	1165	108	0.092704	0.0065719	0.10989	24860
RO-	1171	350	8.448e+05	0.29889	969	234	0.24149	0.9985	1	-69011
-INE	729	174	8.246e+05	0.23868	650	158	0.24308	0.42446	0.90981	4746.2
TR-	1087	300	8.146e+05	0.27599	691	285	0.41245	1.1921e-09	3.3576e-07	1.5455e+05
-TA	1081	125	8.116e+05	0.11563	903	122	0.13511	0.0954	0.43575	17774
L-	4171	2887	8.052e+05	0.69216	2653	1745	0.65775	0.9985	1	-92788
SO-	996	263	7.932e+05	0.26406	822	160	0.19465	0.99975	1	-74282
-RE	1698	822	7.924e+05	0.4841	1513	791	0.5228	0.014279	0.17416	57351
TE-	1049	174	7.904e+05	0.16587	819	118	0.14408	0.90096	1	-20482
SI-	985	161	7.812e+05	0.16345	862	162	0.18794	0.083499	0.40846	22823
-ATE	689	185	7.648e+05	0.26851	635	159	0.25039	0.7736	1	-18832
SP-	960	284	7.442e+05	0.29583	594	181	0.30471	0.35514	0.84036	9367.1
CO-	904	270	7.43e+05	0.29867	787	192	0.24396	0.9941	1	-56273
TO-	999	264	7.39e+05	0.26426	832	200	0.24038	0.87894	1	-23474
-NT	993	240	7.376e+05	0.24169	856	224	0.26168	0.16143	0.54975	19203
-LE	1275	552	7.342e+05	0.43294	1149	496	0.43168	0.52496	1	-1614.4
W-	1837	800	7.19e+05	0.43549	1251	536	0.42846	0.65076	1	-8646.5
-ETS	815	343	7.136e+05	0.42086	723	238	0.32918	0.99989	1	-1.156e+05
M-	2745	1713	6.934e+05	0.62404	1776	1176	0.66216	0.0045774	0.087906	68362
-IA	781	32	6.872e+05	0.040973	679	38	0.055965	0.090563	0.42752	10716
-OR	767	106	6.78e+05	0.1382	700	103	0.14714	0.31227	0.78767	7100
-AN	886	133	6.78e+05	0.15011	782	77	0.098465	0.99925	1	-40884
LI-	792	107	6.726e+05	0.1351	714	90	0.12605	0.69851	1	-6938.2
LA-	837	273	6.63e+05	0.32616	784	156	0.19898	1	1	-1.1917e+05
-INS	611	173	6.612e+05	0.28314	538	169	0.31413	0.12586	0.49465	28264
BE-	659	104	6.384e+05	0.15781	568	65	0.11444	0.98604	1	-32516
AS-	619	87	6.354e+05	0.14055	602	72	0.1196	0.86157	1	-15682
RES-	501	112	6.334e+05	0.22355	375	57	0.152	0.99604	1	-58401
-TE	1945	1235	6.266e+05	0.63496	1835	1225	0.66757	0.017769	0.1925	55032
SC-	733	147	6.204e+05	0.20055	499	109	0.21844	0.22369	0.66	13798
-NE	1183	519	6.192e+05	0.43872	1016	472	0.46457	0.11224	0.48533	27455
-IC	687	32	6.184e+05	0.046579	544	21	0.038603	0.75323	1	-5170.3
-ONS	463	65	5.936e+05	0.14039	442	57	0.12896	0.69261	1	-7879.5
MA-	697	158	5.904e+05	0.22669	623	146	0.23435	0.37064	0.85106	5738.9
TI-	739	195	5.694e+05	0.26387	642	190	0.29595	0.092411	0.4305	23964
-HS	773	182	5.668e+05	0.23545	674	165	0.24481	0.3387	0.82717	6786.6
-RED	723	358	5.522e+05	0.49516	603	339	0.56219	0.0074657	0.11683	73076
-M	1653	507	5.522e+05	0.30672	1523	498	0.32699	0.10989	0.47863	15463
DI-	499	64	5.488e+05	0.12826	495	72	0.14545	0.21509	0.64797	10656
-SER	697	309	5.48e+05	0.44333	645	312	0.48372	0.069075	0.37415	39754
CA-	731	224	5.444e+05	0.30643	652	184	0.28221	0.83792	1	-18432
LO-	701	170	5.416e+05	0.24251	589	129	0.21902	0.84041	1	-16658
-LES	622	272	5.388e+05	0.4373	533	235	0.4409	0.45107	0.92965	3444.5
-HER	624	250	5.38e+05	0.40064	550	280	0.50909	9.7228e-05	0.0046807	97518
-EE	578	17	5.282e+05	0.029412	521	56	0.10749	1.0525e-07	1.7787e-05	42644
-RES	740	381	5.266e+05	0.51486	677	338	0.49926	0.72135	1	-16664
-CH	886	288	5.256e+05	0.32506	697	225	0.32281	0.53773	1	-1735.8
-ELS	409	65	5.24e+05	0.15892	358	61	0.17039	0.33447	0.82584	7125.5
-US	598	27	5.24e+05	0.045151	515	19	0.036893	0.75492	1	-4520
-NED	679	324	5.202e+05	0.47717	607	264	0.43493	0.93552	1	-41985
LE-	700	176	5.184e+05	0.25143	571	108	0.18914	0.996	1	-43003
AN-	589	106	5.126e+05	0.17997	460	38	0.082609	1	1	-59524
-TO	714	100	5.076e+05	0.14006	611	88	0.14403	0.41822	0.90882	2332.9
OUT-	297	7	5.068e+05	0.023569	256	29	0.11328	1.0041e-05	0.00084843	46525
-LY	480	58	5.058e+05	0.12083	473	51	0.10782	0.73598	1	-7267.9
SH-	743	247	5.024e+05	0.33244	479	196	0.40919	0.0032189	0.067999	57378
-DER	863	514	5.014e+05	0.5956	783	466	0.59515	0.50741	0.98726	-552.19
DO-	594	134	4.96e+05	0.22559	510	129	0.25294	0.14376	0.51544	17084
PA-	625	195	4.876e+05	0.312	549	139	0.25319	0.98708	1	-40451
-ISH	312	1	4.87e+05	0.0032051	261	2	0.0076628	0.23076	0.66878	2177.1
-TES	846	512	4.844e+05	0.6052	811	521	0.64242	0.059033	0.34167	45240
-ENS	459	147	4.82e+05	0.32026	430	96	0.22326	0.99941	1	-68079
HO-	568	106	4.796e+05	0.18662	461	84	0.18221	0.57189	1	-2632.8
-TY	613	74	4.742e+05	0.12072	576	83	0.1441	0.11701	0.48679	12630
NO-	505	94	4.64e+05	0.18614	489	85	0.17382	0.69327	1	-6869
MO-	599	172	4.624e+05	0.28715	490	89	0.18163	0.99998	1	-66030
-AE	494	8	4.618e+05	0.016194	425	27	0.063529	9.2747e-05	0.0046807	22191
HE-	578	132	4.6e+05	0.22837	358	94	0.26257	0.11741	0.48679	20265
OR-	430	37	4.582e+05	0.086047	296	19	0.064189	0.86098	1	-10898
TH-	394	10	4.526e+05	0.025381	338	21	0.06213	0.0069208	0.11034	16993
ES-	396	33	4.466e+05	0.083333	357	27	0.07563	0.65164	1	-3845.4
NA-	576	95	4.44e+05	0.16493	485	51	0.10515	0.99757	1	-31382
-SES	584	279	4.426e+05	0.47774	582	306	0.52577	0.050482	0.32371	40252
-ARS	370	73	4.382e+05	0.1973	289	53	0.18339	0.67381	1	-7587.3
HA-	511	109	4.354e+05	0.21331	440	103	0.23409	0.2213	0.65844	11240
AL-	448	35	4.332e+05	0.078125	369	22	0.059621	0.84925	1	-8752.6
-ITE	355	74	4.206e+05	0.20845	312	38	0.12179	0.99859	1	-45668
ME-	532	106	4.2e+05	0.19925	449	70	0.1559	0.96104	1	-22653
RI-	523	113	4.178e+05	0.21606	498	118	0.23695	0.21264	0.64797	10865
-IST	314	38	4.164e+05	0.12102	280	23	0.082143	0.94039	1	-18427
-NES	490	214	4.132e+05	0.43673	420	196	0.46667	0.18281	0.58742	21551
-SEL	348	57	4.078e+05	0.16379	305	39	0.12787	0.90206	1	-17517
-RA	456	31	4.02e+05	0.067982	424	33	0.07783	0.28703	0.75871	4279.8
DR-	438	37	3.982e+05	0.084475	238	42	0.17647	0.00018825	0.0083721	39963
MIS-	241	20	3.966e+05	0.082988	228	10	0.04386	0.95826	1	-16723
-TH	467	30	3.956e+05	0.06424	435	62	0.14253	5.1773e-05	0.0033562	32850
PE-	489	97	3.938e+05	0.19836	368	56	0.15217	0.95975	1	-22347
-EES	275	8	3.93e+05	0.029091	230	30	0.13043	8.5572e-06	0.00080342	41004
-RO	485	37	3.926e+05	0.076289	417	43	0.10312	0.078818	0.39881	11488
-ANS	320	57	3.898e+05	0.17813	281	33	0.11744	0.98125	1	-28620
-P	1321	422	3.848e+05	0.31945	1170	412	0.35214	0.042262	0.30264	18687
-TIE	379	109	3.844e+05	0.2876	317	61	0.19243	0.99819	1	-51259
-LER	550	298	3.824e+05	0.54182	491	250	0.50916	0.8539	1	-26567
MI-	408	74	3.822e+05	0.18137	409	71	0.17359	0.61446	1	-3486.3
-RY	384	20	3.804e+05	0.052083	340	28	0.082353	0.051155	0.32371	12126
-SED	550	287	3.786e+05	0.52182	535	257	0.48037	0.91388	1	-32592
-ALS	328	81	3.766e+05	0.24695	287	58	0.20209	0.90775	1	-22484
-ISE	271	33	3.76e+05	0.12177	244	32	0.13115	0.37451	0.85762	4018.7
-NA	455	17	3.75e+05	0.037363	401	33	0.082294	0.0025778	0.057323	17460
Y-	669	55	3.712e+05	0.082212	457	96	0.21007	3.1554e-10	1.3331e-07	51167
DIS-	195	3	3.604e+05	0.015385	196	8	0.040816	0.064177	0.35914	9302.9
-CE	446	50	3.602e+05	0.11211	406	97	0.23892	4.9739e-07	5.2537e-05	50977
RET-	298	75	3.598e+05	0.25168	208	51	0.24519	0.56592	1	-3131.2
-ORS	289	52	3.598e+05	0.17993	251	38	0.15139	0.81259	1	-12550
-EY	407	21	3.598e+05	0.051597	351	21	0.059829	0.31066	0.78595	3119.9
-LED	561	326	3.594e+05	0.58111	493	260	0.52738	0.96007	1	-44707
-INA	271	28	3.558e+05	0.10332	207	28	0.13527	0.14095	0.51544	12618
-HES	471	227	3.536e+05	0.48195	415	233	0.56145	0.0090598	0.13199	53657
-G	2496	1696	3.534e+05	0.67949	2204	1503	0.68194	0.42853	0.90981	3042.9
-TEN	372	124	3.52e+05	0.33333	336	97	0.28869	0.89975	1	-23625
-MEN	222	7	3.494e+05	0.031532	213	4	0.018779	0.80147	1	-4580.6
PI-	358	39	3.486e+05	0.10894	359	24	0.066852	0.97672	1	-16473
-ID	433	55	3.458e+05	0.12702	373	42	0.1126	0.73479	1	-5667.2
-ENT	310	73	3.446e+05	0.23548	254	39	0.15354	0.99239	1	-36906
PO-	410	101	3.432e+05	0.24634	350	77	0.22	0.80363	1	-11785
-LET	310	89	3.378e+05	0.2871	292	38	0.13014	1	1	-72955
PRE-	195	6	3.37e+05	0.030769	167	7	0.041916	0.28495	0.75718	3876.9
CH-	496	182	3.314e+05	0.36694	298	151	0.50671	5.5606e-05	0.0033562	74640
-U	746	19	3.294e+05	0.025469	639	26	0.040689	0.055634	0.33631	5135
-MS	580	207	3.26e+05	0.3569	525	224	0.42667	0.0087859	0.13025	34550
NE-	321	46	3.222e+05	0.1433	261	26	0.099617	0.9443	1	-15971
AC-	357	46	3.164e+05	0.12885	339	30	0.088496	0.95602	1	-14504
-NER	507	289	3.156e+05	0.57002	441	241	0.54649	0.76668	1	-17241
TRI-	206	10	3.132e+05	0.048544	188	17	0.090426	0.050139	0.32371	13720
SN-	451	135	3.104e+05	0.29933	239	81	0.33891	0.14305	0.51544	18087
BA-	406	115	3.098e+05	0.28325	330	88	0.26667	0.6917	1	-6985.4
-IED	308	97	3.094e+05	0.31494	278	31	0.11151	1	1	-92924
-TI	409	54	3.09e+05	0.13203	381	46	0.12073	0.68334	1	-3984.7
