word	len	trials	finds	vowelInitial	removedByFlux	commonEnglish	comparable	compP10	compMedian	pZeroAtP10	pZeroAtMedian	compP10SameInitial	compMedianSameInitial	pZeroAtP10SameInitial	pZeroAtMedianSameInitial	qAtMedian	qAtMedianSameInitial	qAtP10SameInitial
SADHE	5	194	0	False	False	True	1517	0.009579	0.1103	0.1546	1.425e-10	0.01263	0.1331	0.085	9.338e-13	4.727e-10	5.835e-12	0.4083
SAIGA	5	128	0	False	False	True	1615	0.0102	0.1017	0.2691	1.092e-06	0.01302	0.1154	0.1868	1.53e-07	1.576e-06	3.496e-07	0.4083
SALAL	5	118	0	False	False	True	1560	0.01111	0.103	0.2675	2.704e-06	0.01366	0.1161	0.1973	4.756e-07	3.352e-06	9.354e-07	0.4083
SALMI	5	202	0	False	False	False	1467	0.009671	0.1104	0.1404	5.475e-11	0.01267	0.1381	0.07611	9.224e-14	1.924e-10	6.777e-13	0.4083
SALPA	5	118	0	False	False	True	1560	0.01111	0.103	0.2675	2.704e-06	0.01366	0.1161	0.1973	4.756e-07	3.352e-06	9.354e-07	0.4083
SAMIEL	6	130	0	False	False	True	1486	0.01064	0.1131	0.249	1.685e-07	0.01344	0.14	0.1722	3.054e-09	2.864e-07	1.013e-08	0.4083
SAMLET	6	120	0	False	False	True	1590	0.01134	0.1093	0.2545	9.225e-07	0.01295	0.1373	0.2092	2.023e-08	1.342e-06	5.726e-08	0.4083
SANGH	5	138	0	False	False	False	1571	0.009804	0.1038	0.2568	2.714e-07	0.013	0.1195	0.1643	2.35e-08	4.419e-07	6.569e-08	0.4083
SANSAR	6	106	0	False	False	False	1597	0.0119	0.1087	0.281	5.044e-06	0.01269	0.1354	0.2582	2.002e-07	5.838e-06	4.348e-07	0.4083
SANSEI	6	254	0	False	False	True	833	0.007418	0.1209	0.1509	6.142e-15	0.01103	0.1462	0.05984	3.642e-18	4.045e-14	5.308e-17	0.4083
SAOLA	5	226	0	False	False	False	1428	0.009913	0.1096	0.1052	4.071e-12	0.0125	0.1384	0.05826	2.398e-15	1.652e-11	2.176e-14	0.4083
SAPOTE	6	112	0	False	False	True	1584	0.01163	0.1083	0.2698	2.647e-06	0.0122	0.1364	0.253	7.397e-08	3.328e-06	1.822e-07	0.4083
SARMIE	6	160	0	False	False	False	1314	0.01027	0.1209	0.1918	1.107e-09	0.01351	0.1529	0.1134	2.925e-12	2.983e-09	1.646e-11	0.4083
SARONG	6	110	0	False	False	True	1633	0.0119	0.1077	0.2678	3.603e-06	0.0125	0.1344	0.2507	1.276e-07	4.351e-06	2.947e-07	0.4083
SASTRA	6	158	0	False	False	False	1272	0.01011	0.1205	0.2007	1.554e-09	0.01333	0.1531	0.1199	3.987e-12	4.005e-09	2.201e-11	0.4083
SATAIS	6	116	0	False	False	False	1606	0.01136	0.1078	0.2656	1.801e-06	0.0122	0.1359	0.2409	4.385e-08	2.478e-06	1.189e-07	0.4083
SATAY	5	112	0	False	False	False	1583	0.01163	0.09848	0.2698	9.057e-06	0.0125	0.1099	0.2444	2.179e-06	9.759e-06	3.954e-06	0.4083
SATORIS	7	100	0	False	False	False	653	0.01256	0.1098	0.2824	8.931e-06	0.01366	0.14	0.2526	2.817e-07	9.718e-06	5.852e-07	0.4083
SCORIA	6	112	0	False	False	True	1584	0.01163	0.1083	0.2698	2.647e-06	0.0122	0.1364	0.253	7.397e-08	3.328e-06	1.822e-07	0.4083
SCOTIA	6	112	0	False	False	True	1584	0.01163	0.1083	0.2698	2.647e-06	0.0122	0.1364	0.253	7.397e-08	3.328e-06	1.822e-07	0.4083
SCROD	5	132	0	False	False	True	1559	0.009804	0.1032	0.2724	5.721e-07	0.01299	0.1157	0.1781	8.985e-08	8.615e-07	2.171e-07	0.4083
SCUTA	5	102	0	False	False	True	1622	0.01223	0.09595	0.2852	3.401e-05	0.01389	0.1058	0.2401	1.117e-05	3.401e-05	1.855e-05	0.4083
