gid	dOpen	margin	dN
8044	-0.0666667	2000	-1
8045	0	-4300	5
8046	-0.2	9900	-2
8047	0.2	3800	15
8048	-0.0666667	2100	6
8051	-0.466667	900	-9
8054	-0.2	18500	12
8110	0.133333	5700	1
8111	-0.133333	-13200	-14
8113	-0.8	-6100	-23
8145	-0.4	-8600	-9
8147	-0.133333	-17200	-29
8149	-0.2	-6400	12
8154	-0.133333	-1200	-14
8170	0.333333	-600	-6
8173	-0.733333	-5800	-18
8218	0.466667	-28300	-22
8232	-0.933333	-34300	-5
8234	-0.6	8400	-4
8247	-0.4	-6700	-9
8258	-0.733333	2400	1
8260	-0.866667	-12400	-19
8264	-0.2	-10200	-18
8278	-0.466667	3200	-9
8279	-0.2	-1000	-9
8286	0.266667	-600	8
8288	-0.333333	-13900	-20
8290	0.0666667	-3400	-22
8294	0	-16200	-20
8295	0.133333	-3500	-10
8486	-0.866667	4100	-11
8568	0.133333	-7900	-24
8626	-0.2	-5600	-15
8630	-0.6	-6300	-4
8657	0.0666667	-7000	5
8659	-0.2	4400	3
8661	-0.0666667	-1700	2
8740	0.2	-6100	-7
8748	-0.0666667	100	-32
8750	0.133333	3500	-10
8753	-0.666667	-600	-4
8788	0	1400	-13
8790	-0.4	-3900	-5
8813	-0.333333	-25200	-10
8817	-0.0666667	1500	-4
8826	-0.8	-2300	-11
8954	-0.133333	-5700	-11
8955	-0.6	-5600	-19
8957	-0.133333	-9500	3
8961	0.133333	1800	-12
8963	-0.533333	-2500	-5
8964	-0.0666667	-6900	-15
8967	-0.0666667	-11800	-3
8968	-0.533333	9000	15
8996	-0.2	700	4
8997	-0.533333	1800	-1
8999	0	-1100	-12
9000	-0.466667	6200	-4
9006	-0.666667	6600	-7
9009	-0.933333	-400	11
9015	-0.133333	2200	-4
9016	-0.666667	-400	-9
9021	0.466667	900	-12
