word	len	pts	n	nCur	fieldRate	myRate	myRateCur	strongRate	topQRate	reachClass	share_freeCur	share_dropTerminalCur	share_cellmateCur	hookStem	cellmateOf	observedHost	family	qCur	gainPerGameCur	gainPerGameAll	dead	everAccepted
DONEES	6	1400	67	21	0.059701	0.029851	0.047619	0.11111	0.058824	free	0.80952	0	0	DONE		DONE	DONE	0.60006	5.669	6.1179	False	True
INTIL	5	800	167	61	0.011976	0.017964	0.04918	0	0.021739	free	0.5082	0	0	TIL		TIL	TIL	0.37991	5.6333	5.104	False	True
DONEE	5	800	109	36	0.068807	0.036697	0.055556	0.16667	0.088235	free	0.83333	0	0	DONE		DONE	DONE	0.61585	5.6322	5.5366	False	True
FETAS	5	800	152	55	0.078947	0.032895	0.054545	0.12	0.060606	free	0.56364	0	0.10909	TAS	FATES	FET	TAS	0.42045	5.6195	6.2654	False	True
IDOLA	5	800	132	47	0.0075758	0.0075758	0	0	0	free	0.57447	0	0			DOL	DOL	0.428	5.617	4.4755	False	True
SNASTE	6	1400	173	47	0	0	0	0	0	free	0.31915	0	0.29787			NAS	NAS	0.24452	5.6159	7.547	True	False
PINTA	5	800	111	39	0.085586	0.09009	0.12821	0.16667	0.20588	free	0.87179	0	0.025641	PINT		PINT	PINT	0.64383	5.6152	5.0733	False	True
SORDINE	7	1800	54	17	0.018519	0.018519	0.058824	0	0	free	0.82353	0	0	DINE		DINE	DINE	0.58412	5.6104	5.4626	False	True
RHIES	5	800	234	66	0.0021368	0.0042735	0.015152	0	0	free	0.42424	0	0.16667			HIES	HIES	0.31946	5.6082	6.9635	False	True
ALOOS	5	800	127	43	0	0	0	0	0	free	0.62791	0	0	LOO		LOOS	LOO	0.46678	5.6046	6.0025	False	False
SOLERA	6	1400	149	36	0.036913	0.033557	0.13889	0.076923	0.12121	free	0.61111	0	0	SOL		SOLER	SOL	0.45659	5.5889	10.098	False	True
RAMEE	5	800	117	36	0	0	0	0	0	free	0.75	0	0.11111	MEE		RAM	MEE	0.55569	5.586	5.965	False	False
SERACS	6	1400	127	43	0.027559	0	0	0.14815	0.15	cellmate	0.34884	0	0.39535			SER	SER	0.26568	5.5824	4.4146	False	True
ANTIAR	6	1400	139	38	0.021583	0.0071942	0	0	0.09375	free	0.39474	0	0			ANTI	ANTI	0.30013	5.5732	8.0058	False	True
MOTET	5	800	89	32	0.033708	0	0	0.052632	0.095238	free	0.84375	0	0	MOTE	MOTTE	MOTE	MOTE	0.6234	5.5704	5.0358	False	True
TERAPH	6	1400	84	37	0	0	0	0	0	free	0.40541	0	0			RAP	RAP	0.30785	5.566	4.5616	True	False
ENTOIL	6	1400	97	37	0.015464	0	0	0.14286	0.11111	free	0.40541	0	0.027027			TOIL	TOIL	0.30776	5.5644	4.8149	False	True
TELOI	5	800	242	91	0	0	0	0	0	free	0.28571	0	0.15385			TEL	TEL	0.2189	5.5623	4.55	False	False
GALEA	5	800	62	29	0	0	0	0	0	free	0.93103	0	0	LEA		GALE	LEA	0.68674	5.5611	3.6597	True	False
RAPIST	6	1400	70	23	0.05	0.071429	0.086957	0	0	free	0.78261	0	0			RAP	RAP	0.5806	5.5481	5.7714	False	True
NALEDS	6	1400	108	34	0	0	0	0	0	free	0.44118	0	0.029412		LANDES	ALE	ALE	0.33362	5.5429	4.8375	True	False
REBASE	6	1400	65	22	0.084615	0.13846	0.090909	0	0.052632	free	0.81818	0	0	BASE	BEARES	BASE	BASE	0.60632	5.5409	4.915	False	True
SEROMA	6	1400	113	33	0	0	0	0	0	free	0.45455	0	0			ROM	ROM	0.34338	5.5372	6.1965	True	False
TICALS	6	1400	58	21	0.017241	0.034483	0.095238	0	0	free	0.85714	0	0	CAL		TIC	CAL	0.63449	5.5337	5.0889	False	True
ALTARS	6	1400	87	28	0.04023	0.057471	0.17857	0	0	free	0.78571	0	0	TAR		ALT	TAR	0.58284	5.5314	7.0433	False	True
